,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
NCI-H358,-0.13764104,0.050369177,0.012269821,-0.023442432,0.00014011562,0.49850783,-0.0045155585,-0.0934733,-0.50200033,0.07708768,-0.79160726,-0.24794856,0.38581973,-0.07116334,-0.4920591,0.4200707,-0.23414126,-0.3247506,0.038412414
HLE,0.062369764,-0.60140896,-0.053670093,-0.5208794,-0.24860594,-0.26179636,0.92961633,0.2957305,-0.0909615,0.034590863,0.27099073,-0.15796453,-0.90181684,0.22832242,-0.25237563,0.0047363937,-0.10453885,0.14049271,0.043323897
SET-2,2.06737,1.1249341,0.4876391,1.4273472,-0.10436481,1.7449381,-1.3431618,-0.7295263,-1.9768395,-0.69774574,0.4651208,-0.55856144,0.91577953,-0.25520128,1.6946001,2.3325605,1.0481422,0.57215345,-0.43660152
Kelly,-0.43268827,0.15177572,-0.30530232,0.72076917,1.0512524,0.30907613,1.624208,1.370862,1.1355907,-1.9140072,0.28057113,0.411758,-0.45757192,0.08091682,-0.7978022,0.6064922,-0.5805355,0.75371367,0.16815001
EM-2,-0.30733246,0.94583505,0.76161814,-0.31379658,0.34483093,3.0491529,0.4228108,0.992105,-2.2038372,-3.381327,-0.67129433,2.1545424,1.2940855,-0.8358244,-0.300084,3.2320352,-1.3972858,-0.7981656,-0.21076804
SNU-475,0.10094991,-1.138926,0.035516486,-1.0608826,-0.21912347,-0.73629147,1.3888783,0.39438996,-0.1817112,0.007540956,0.5421091,-0.17884095,-1.193773,0.40194798,-0.67018306,-0.11688936,-0.095170945,0.042699605,0.15125799
DFCI024,0.74777055,0.15049022,-0.57596695,1.1809882,-0.05106499,-1.6497247,-0.20863439,-1.0535815,0.15477246,1.7407913,-0.6112108,-2.4135818,-1.0848054,0.21230832,0.39955598,-1.3379071,2.2336044,1.0867759,0.38564885
NCI-H1341,0.44743645,0.44622752,-0.23520757,1.4308901,0.39874458,-1.2823951,0.1347372,0.2703601,1.0725853,0.23031664,0.24179909,-0.87064236,-0.11622257,-0.013945527,0.3446018,-0.20365283,1.187782,0.3832063,-0.21535784
Reh,-1.2226382,1.7256395,1.3634973,-1.5483981,1.4143481,6.0775223,1.4875157,2.9236107,-1.2630205,-7.8979387,-0.32732373,4.9416947,3.2363348,-3.0655699,-1.6018956,7.063262,-5.395254,-2.0908303,-0.5542188
SK-MEL-1,-0.23922548,-0.7059161,0.08489706,-1.1440184,-0.14531536,-0.09884095,0.9188183,0.0633077,-0.08076934,0.061995663,0.053557463,0.069873884,-1.3695279,0.52032506,-0.34475982,-0.3584066,-0.47507945,-0.123253204,0.34964064
Hs 737.T,0.72874343,-1.4864929,-1.3673164,0.2634784,0.16558567,-4.001667,2.300957,-0.07942818,1.0311166,2.6314998,1.2541875,-3.260813,-3.945087,0.6666822,-0.03625405,-2.8042083,3.3743868,1.3379844,0.04255086
5637,-0.5678639,-0.14416005,0.048691362,0.075119495,0.5127139,-0.26226613,0.31919485,-0.062069446,-0.3020074,0.13362622,-0.8538078,-0.62333167,0.34772956,-0.66804373,-0.6234294,-0.5434563,0.38210183,-0.26804683,0.40164545
NCI-H2141,0.76825684,2.2993305,0.071731925,4.6051598,1.5701234,-2.480085,0.2460012,0.57576543,2.9077363,0.39079225,0.5189018,-2.574452,0.38445267,-0.12331882,0.353578,-1.2014707,2.7080185,1.420275,-0.49337846
SJSA-1,0.021163132,-1.1971536,-0.15830532,-1.0039306,-0.43066794,-1.2628009,1.5504758,0.45356494,0.20100231,0.0890991,0.9094893,-0.19931045,-1.549428,0.36095637,-0.297708,-0.42825967,0.095799804,0.07318242,0.15518653
NALM-19,-1.2579463,2.0529792,1.4736325,-1.9034532,1.5683898,7.4616394,1.9341761,3.52616,-1.6511573,-9.419879,-0.6439527,5.758334,3.8291173,-3.549541,-2.1673493,8.432804,-6.6655493,-2.1871119,-0.81396943
CAL-27,-0.22561431,0.039778866,-0.069101945,0.57552123,0.3479032,-0.6284849,-0.29064292,-0.6233883,-0.69437057,0.20624463,-1.1645588,-0.96445787,0.3262513,-0.78934216,-0.5263939,-0.121169776,0.7348379,-0.64551973,0.31742418
COV362,0.34507588,-0.56738687,-0.41656294,-0.32562017,0.09711322,-0.368495,0.70951873,0.041502986,0.1190203,0.416908,0.10063735,-0.42288962,-0.59426427,-0.054873556,-0.025196403,-0.26204196,0.2048879,0.37579572,-0.21245262
EJM,-1.0996311,1.4851491,1.3994952,-0.7252856,1.3970671,3.2805777,0.9602641,2.0860975,-0.88741815,-4.810823,-0.41863143,3.0059276,2.32388,-1.7462373,-1.4056468,4.6064386,-3.1596131,-1.6515961,-0.23603384
HCC1143,-0.21527633,0.114578985,-0.16701528,0.1126018,0.2311902,-0.65509665,-0.25750753,-0.6251317,-0.44679046,0.89488673,-0.8516878,-1.490305,-0.15631092,-0.39796126,-0.36375302,-0.58231056,0.7934481,-0.028325833,0.5107471
A-549,0.103129655,-0.44036373,0.10069156,-0.27424937,-0.24804619,-0.43876597,0.6312423,0.07882792,-0.09640161,0.42848665,0.037385553,-0.39301288,-0.69302607,0.22163509,-0.34804887,0.08936143,0.28638992,0.17084806,0.04871276
PLC/PRF/5,-0.30496582,0.14347374,-0.12350632,0.46805292,0.014154479,-0.049172804,0.119381376,-0.17497814,-0.0012879893,0.40587893,-0.23126432,-0.47261822,-0.42003384,-0.26419967,-0.38695562,0.13558364,0.14244561,0.1960114,0.16028363
HCC1806,0.1573177,0.7348114,-0.37894058,0.9291735,0.36695248,-0.452995,-0.62719774,-0.7832099,-0.45724842,0.78281415,-0.9017342,-1.3555638,0.3486461,-0.6756661,-0.31445938,-0.45987317,1.184727,-0.12370047,0.050906245
FTC-238,0.21564646,-0.77926713,-0.05863661,-0.6816008,-0.21299371,-0.48044148,1.0253408,0.31704855,-0.08188458,0.055411234,0.25669017,-0.22339353,-1.039653,0.23263848,-0.16310291,-0.07246487,-0.05550185,0.1866442,-0.17248312
NCI-H684,1.1356316,2.381071,-0.07584132,3.5011353,0.3363587,-0.8687755,-1.9560933,-0.7562233,-0.21911007,2.3658278,-1.7032958,-2.4724476,1.2079034,-0.29893985,-0.7941517,-0.5527438,1.9803929,1.7515664,-0.17327717
K-562,1.1729131,0.68232715,0.26331967,0.90320456,-0.11141145,0.75462735,-0.80367833,-0.2008373,-1.3252481,-0.08690574,0.0055067022,-0.28751653,0.518638,-0.061539024,0.6965184,1.1660013,0.7771706,0.56589615,-0.50113493
COLO 818,-0.015296906,-1.3881757,0.12549643,-1.7980986,-0.14969015,-0.92283106,1.7115154,0.031330757,0.014433235,0.40307173,0.49403048,-0.3125653,-2.1461215,0.8615562,-0.33645058,-0.9226758,-0.13138518,-0.10483116,0.31840616
DV-90,-0.001365006,1.1688266,0.47566882,1.5013775,0.30430192,-0.2791039,-0.8373843,-0.21055053,-0.3842942,0.72866225,-0.7128469,-0.67549014,0.8873415,-0.5659337,-0.6703664,0.15652925,0.41182372,0.24661246,-0.115258805
OC 315,0.12546171,-0.29313925,-0.23251553,-0.34921232,0.07158169,-0.28838086,0.38846356,-0.039800033,-0.3701973,0.15554129,-0.30728424,-0.460543,-0.20765689,0.0012130588,-0.14937456,-0.036616825,0.0645739,0.29007292,0.21112055
IST-Mes2,0.33115324,-0.63276446,-0.33688578,-0.74078685,-0.13099374,-0.2735108,0.68670213,0.33880806,0.03912789,-0.02014842,0.3551065,-0.04960829,-0.47465837,0.25702232,-0.2195968,0.08430235,-0.22466728,0.14301553,-0.17439483
DB,-3.9051762,1.21104,1.3491876,-1.7979258,3.4073462,6.3540163,3.7474995,5.377701,-0.21927759,-11.60524,-1.5574181,6.1602755,2.4318686,-3.873257,-4.020666,7.415427,-8.022023,-2.1745863,-0.12358795
MFE-319,-0.8306979,0.43805116,0.4329347,0.45072418,0.5076454,-0.72501576,-0.61065567,-0.6932649,-0.85835356,0.49690333,-0.9734304,-1.0929093,0.5951973,-0.55894303,-0.06936184,-0.86417246,0.9705955,-0.14456853,0.960654
Hs 766T,-0.17920408,-0.8204044,-0.12574151,-0.75231284,0.16498984,0.0640742,0.808201,0.2168916,-0.37285212,-0.20828652,-0.40096363,0.104165256,-0.16421503,-0.6312787,-0.6445349,-0.18573008,-0.011369877,-0.120877385,-0.10422405
NCI-H322,-0.81367034,0.6654181,0.6210774,0.898954,0.15433155,-0.14537728,-0.4740981,-1.0664587,-0.8536775,0.8158464,-1.2210073,-1.3397884,0.34919822,-0.56100726,-0.58384705,-0.84639645,0.85552377,-0.4686001,0.7551295
SK-UT-1,-0.0022238828,-0.3887058,-0.03362778,-0.6251244,-0.19775501,-0.11734857,0.5765472,0.44678605,-0.18905914,-0.38050604,0.35444254,0.26566964,-0.46769696,0.020736422,-0.09844597,0.2682814,-0.38253742,-0.0039250273,-0.06268808
T24,-0.16981739,-0.92798495,0.09976956,-0.8616229,-0.29181707,-0.66321814,1.202318,0.20913938,-0.17728126,0.01755739,-0.082451016,-0.13758256,-0.85973454,-0.087430865,-0.35109678,-0.19238086,0.051700838,-0.0024177432,0.083040036
SUP-T1,-1.7410958,1.2147343,1.5214996,-0.77785695,1.4989928,3.4488535,1.8361499,3.309908,-0.86523277,-6.1005983,-0.39559042,3.1486971,1.4103111,-1.7225785,-1.5196873,4.4712815,-3.7026887,-1.3029867,-0.28146952
Rh41,0.20141514,-0.3742336,-0.3433469,-0.37909043,0.17513686,-0.3427117,1.0336182,0.6079085,0.26568142,-0.23121892,0.59526867,-0.28874347,-1.0328758,0.3251302,-0.143733,-0.33837786,0.17343023,0.31999397,-0.031351723
TALL-1 [Human adult T-ALL],-1.7538326,1.0846074,1.6990879,-1.0682048,1.1653625,4.7646804,2.1744554,3.670357,-1.539336,-7.013011,-0.34289068,4.3846216,1.9093056,-2.1091068,-1.6477182,5.7927732,-4.537014,-1.88628,-0.3999748
ECC12,-0.08168739,0.9464786,-0.079419866,1.6402258,1.3775147,-0.017834399,0.92545176,1.0572573,1.2578181,-0.985359,-0.14387989,-0.4291665,0.1265297,0.35158017,-0.623061,0.22915597,0.06806618,0.8488442,-0.07389504
JHH-2,0.41318896,-1.1864479,-0.5181465,-0.99522126,-0.19707415,-0.69287574,1.5897291,0.2042091,0.31877613,0.56802595,0.068729356,-0.8422717,-1.202904,0.23077703,-0.58747464,-0.4934079,0.21543507,0.6742015,-0.4489509
CAL-33,0.3334555,0.0090605505,-0.80152583,0.9503394,0.1612513,-0.33457994,-0.35917675,-0.75801706,-0.5054896,0.8924482,-1.3548312,-1.2587671,0.18260118,-0.69990826,-0.6608915,-0.34703124,1.0287201,-0.10069561,-0.13556227
LXF 289,0.25321144,-0.66656727,-0.10283336,-0.38667017,-0.06349821,-1.1700035,0.9336173,0.004851088,0.0928061,0.64766693,0.07010314,-0.7284174,-1.0996821,0.33684778,-0.25117108,-0.5713608,0.8738147,0.13641065,0.14181072
T3M-10,-0.19845214,-0.38095698,-0.29681772,-0.46902335,0.3065206,0.40310553,0.12484419,-0.1176303,0.0049191527,-0.018521188,-0.6484723,-0.3825938,0.38028485,-0.38638863,-0.61075866,0.16316374,-0.4713509,0.14331783,-0.32583994
DMS 53,0.26421225,1.6768262,0.46905977,2.5439715,1.1799878,-0.8277451,-0.23494497,0.6483057,0.9502657,0.27810717,-0.1392589,-1.1041055,0.91220284,0.11884918,-0.37141514,-0.5311595,0.7652399,0.92724913,0.103449315
KO52,-0.33350456,1.3746734,0.8663583,-0.014924049,0.7025498,3.5731907,0.534144,1.5007201,-2.056927,-4.8707924,-0.53837186,2.4474585,1.964832,-1.1998088,-0.33669293,4.327504,-2.069644,-0.9344518,-0.26428956
LC-1F,0.39223173,0.46302903,0.4425367,0.76305646,0.15755408,-0.48885956,-0.50881624,-0.42387962,-0.44244263,0.33088177,-0.32314616,-0.6732229,0.29359457,-0.32687697,0.0711074,-0.063247025,0.71636593,-0.24954636,0.35402843
SKM-1,-0.32424524,0.70083386,0.3464902,-0.32426938,0.3034311,2.4386513,0.60341585,0.86915046,-1.9522661,-3.0402179,-0.42305267,1.4522414,1.1341509,-0.76754165,-0.2116204,2.7522845,-1.1754991,-0.6797795,-0.34637398
WSU-DLCL2,-3.5701406,1.3812773,1.6531425,-2.143594,3.2957535,7.1548777,3.7840137,5.6631155,-0.689324,-12.379337,-1.5400841,6.876423,3.0637581,-4.1215305,-4.0605326,8.56378,-8.566462,-2.5765653,-0.20911735
UOK101,0.3896364,-0.7471235,-0.4541036,0.014983773,-0.0008559665,-1.7691613,0.9660851,-0.19440348,0.2318027,1.5471473,0.042915463,-1.799501,-1.7360921,0.31214935,0.019031134,-1.3259325,1.5435371,0.902941,0.4723059
Ishikawa (Heraklio) 02 ER-,-0.55170023,0.31094152,0.371745,0.4836048,0.24451056,-0.5451251,-0.42117685,-0.7614985,-0.9280995,0.41196588,-0.74302924,-0.75032115,0.51857555,-0.42545533,0.24782605,-0.53495044,0.7651967,-0.23609841,0.83708715
UACC-893,0.44994336,1.3808181,-0.08203365,1.8580108,0.19565043,0.23447895,-1.5122257,-1.3664231,-0.83461154,1.8275867,-1.3771131,-1.7371786,0.87788886,-0.25277284,-0.30288398,-0.52069885,1.2126102,0.6905925,0.06589267
HCC2108,0.26411152,-0.6707978,-0.2941831,-0.60270196,-0.21074328,-0.38678604,1.009006,0.27158508,-0.104261,0.20026912,0.3227159,-0.22094466,-0.80965173,-0.07668627,-0.28262663,0.08153014,-0.10485789,0.24428321,-0.2181788
QGP-1,0.134595,1.6791022,0.8284146,3.2692423,1.3335749,-0.9138839,0.016068064,0.9248612,1.2932881,0.026728109,-0.5005819,-1.0396042,0.49970198,0.095694825,-0.49077648,-0.39359927,0.8293057,0.68195903,0.16860606
NCI-H2085,0.008006752,-0.3557121,-0.34311062,-0.12445292,0.008977592,-0.04575307,0.3001871,-0.35267976,-0.08810879,0.02337046,-0.578633,-0.17960957,-0.16804376,-0.1532566,-0.5110706,-0.04544083,-0.0121926665,0.19361952,-0.0028722025
COLO 704,0.30388027,1.1138774,-0.1415403,2.017135,1.1470442,-0.3152783,0.6206776,0.78435993,1.4320056,-0.7891919,0.09241967,-0.69965506,-0.024610076,-0.10065332,-0.1877516,-0.015738228,0.8797876,0.9620427,-0.17574781
OV7,0.22178128,-1.1086593,-0.35782248,-0.7847652,-0.25847286,-0.49759528,1.3426595,0.3009564,0.26453525,0.3694755,0.304799,-0.4531824,-1.620506,0.31250584,-0.32440257,-0.2935993,0.27576974,0.34430686,-0.19477603
SiMa,-0.50765634,0.50617445,-0.3538791,1.4080805,1.3558022,0.47744176,2.1320066,1.7061956,1.4675949,-2.1630993,0.16605508,0.12774016,-0.4382618,0.26496604,-1.0534515,0.7617459,-0.6548824,0.8941025,-0.10047509
KATO III,0.5976989,1.6622307,0.15395933,2.3982844,0.19626433,-0.35429826,-1.446403,-0.77332234,-0.37039834,1.5060865,-1.3214736,-1.9484098,0.7707548,-0.5703273,-0.6853745,-0.26944485,1.2542636,0.7000732,-0.06176339
L-540,-0.30869493,1.5313482,1.0777335,-0.08909404,0.97939646,2.724943,0.95343417,2.3377318,-0.77974546,-4.3770905,0.01305145,2.6105242,2.2093449,-1.3984456,-0.6478101,4.1159906,-2.5322978,-0.8397298,-0.47354904
SNU-16,0.95033604,2.3798523,0.2712288,3.2466705,0.58086604,-0.612445,-1.3057958,-0.21843639,0.14693317,1.5265217,-0.9262531,-1.6831403,1.4419522,-0.3892796,-0.69143295,-0.22830456,1.4594314,1.175519,-0.22823554
EWS-502,0.67280126,0.46395543,-0.5108947,1.4356778,0.7227619,-1.001711,0.3025926,0.5042186,0.42341077,0.26669735,0.4382502,-0.60373837,-0.51994526,-0.099084176,0.23695776,-0.30675098,1.1448638,0.39961997,0.123715915
SU-DHL-10,-3.7223933,1.4026301,1.5482144,-2.1010327,3.204775,7.28388,3.8865721,5.907854,-0.64618343,-12.894083,-1.6215781,6.928448,3.3870015,-4.196648,-4.217634,8.816902,-8.916242,-2.7561727,-0.46544737
SUP-M2,-0.14719197,0.6755767,0.5971931,-0.33881995,0.68639225,2.340711,1.0180357,1.7857894,-0.62733406,-3.0613365,-0.14014116,2.0098155,1.2097839,-0.9069512,-0.70312476,2.7672176,-2.1505098,-0.4683792,-0.21135038
HuTu 80,-0.039131477,0.08817451,0.30305445,0.51643515,0.15782386,-0.6724991,0.34063202,-0.075735226,-0.048746176,0.21841165,0.19474901,-0.33774132,-0.474245,-0.034736615,0.12255212,-0.07290587,0.5834885,0.28000948,0.45401084
SW1463,1.250226,2.59268,0.13529727,3.7822247,0.57707083,-1.3415226,-1.7316835,-0.6286941,0.30040368,2.2507904,-1.2833921,-2.6840827,1.1511059,-0.049302705,-0.66548115,-0.5805151,2.135717,1.8773289,-0.06113431
T84,0.86853945,2.057578,-0.14875285,3.0811908,0.41678256,-0.73196715,-1.6082423,-0.7374829,-0.32064328,2.185986,-1.4973543,-2.5262055,1.0979408,-0.27618366,-0.7133036,-0.69798887,1.8162894,1.6597548,0.13092709
HCC2157,0.202724,0.76709807,0.1740722,1.1825,0.25618297,-0.3468492,-1.0023743,-0.6911843,-0.31289524,1.1181494,-0.52242726,-1.1569402,0.488223,-0.103374556,-0.24055073,-0.4960089,0.97174424,0.5598196,0.1685014
TE 441.T,0.24966906,-0.06657663,-0.39804292,0.24124025,0.17542464,-0.17026012,0.39777374,0.32936186,0.028477529,-0.08089203,0.35913616,-0.22684555,-0.7066264,0.13646582,0.19672416,0.3382381,0.46321186,0.23258659,0.1752237
YAPC,-0.20199725,0.45325208,0.24962604,0.15883863,-0.070416704,1.420341,-0.18874523,-0.058629498,-0.12755221,-0.4730933,-0.8333138,0.22826022,0.9204546,-0.77974236,-0.89372194,0.8022878,-1.0066814,-0.12501517,-0.6022906
MOLM-16,1.7182106,1.2085853,0.64767885,0.89772177,-0.31442446,2.3806555,-1.0101173,-0.26667827,-2.1386538,-1.2178199,0.34656537,0.29087484,1.0188978,-0.3840282,1.3837976,2.7372627,0.49559253,0.31344587,-0.3172598
Karpas-422,-4.4976134,0.9947411,1.8277285,-2.186819,3.709898,6.6072645,4.2775073,5.790545,-0.61495566,-12.502651,-1.7865741,6.559428,2.5463073,-3.9083376,-4.27044,7.771716,-8.770868,-2.7871344,0.14778206
PANC-1,0.09292537,-0.4260278,-0.1970543,-0.40878865,-0.14212702,-0.039983414,0.60226417,0.18697608,-0.042470396,0.14540903,0.1787259,-0.058655776,-0.5176724,-0.0016802847,-0.31229573,0.12543629,0.034032922,0.25024945,-0.014157683
WM115,-0.052079007,-1.449233,-0.15064192,-1.961394,-0.3360855,-0.75081366,1.9947925,0.15188856,0.3969309,0.2713751,0.69233906,0.16945833,-2.3230348,0.80213857,-0.45492247,-0.51011246,-0.33551767,-0.016905013,0.09877437
HEC-50B,0.16553977,-0.46341985,-0.29934052,-0.40242478,-0.017452382,-0.14427298,0.74598473,0.3248301,-0.13836925,0.10725551,0.12672758,-0.19594865,-0.72711927,0.34042802,-0.122520715,-0.035328917,-0.097617775,0.24602546,-0.23255591
Huh-7,-0.21843496,0.010381177,-0.10874636,0.28845495,0.05149501,0.21432725,0.42400837,0.08062634,0.32383475,-0.013588756,-0.4862699,-0.2426466,-0.41954452,-0.016911266,-0.38101065,0.21241212,-0.12262361,0.36595392,-0.14369135
NCI-H2052,-0.1100483,-1.1478853,0.09035605,-0.9401281,-0.3757972,-1.1041603,1.498535,0.27591932,0.08976591,0.24070466,0.27253303,-0.38219953,-1.4253336,-0.1612116,-0.23677886,-0.39293268,0.3964737,0.09587139,0.26323402
697,-0.8822193,1.0573692,1.2138026,-2.180271,0.76609564,5.712454,1.7115067,3.061478,-1.59726,-7.448571,-0.4420452,5.372732,2.6262095,-2.4804482,-1.7552922,6.861148,-5.3987503,-2.0444045,-0.5111505
CFPAC-1,-0.20200852,0.30156988,-0.18121268,0.5736975,0.4419315,0.4091311,-0.25118116,-0.46013927,-0.13745438,0.42778492,-1.3780702,-1.2558876,0.4712075,-0.44296718,-0.96595806,-0.3654996,-0.011999719,0.37379003,-0.17992884
BT-483,0.9088365,1.7691664,0.0016861409,2.2778082,0.49305522,-0.397644,-1.7341676,-1.3255763,0.013629988,2.054041,-0.6749926,-2.049045,0.7847131,-0.17150101,0.2016211,-0.8786589,1.5775658,0.9709322,0.12428583
JVM-3,-2.247405,1.4308636,2.0405524,-1.9063047,1.797507,5.432826,2.2904716,4.023644,-1.8151555,-8.870551,-0.8136766,5.600937,3.0617378,-2.4584494,-2.8645575,6.905352,-6.3064065,-2.6743717,-0.06744215
NCI-H2227,0.2928949,1.5276194,0.019196242,2.882391,1.2137604,-1.1534085,0.55279696,0.77822536,2.1837535,-0.5196183,0.24157402,-1.3109143,-0.21797955,-0.14055632,-0.19578566,-0.37820047,1.391533,1.325115,-0.46835563
SU-DHL-4,-3.8922925,1.567251,1.6590425,-2.2996304,3.543758,7.59169,3.9014897,5.9713154,-0.763337,-13.329283,-1.5295978,7.188281,3.4438996,-4.465457,-4.3195043,9.207288,-9.047198,-2.9039798,-0.2581241
Caov-4,-0.12731013,0.5692493,0.053984076,0.78653896,0.65810764,-0.27972233,-0.66273236,-0.4855438,-0.30956,0.41372728,-0.95212024,-0.91878784,0.39590594,-0.4779499,-0.20961513,-0.34044737,0.40861934,0.3930474,0.24766316
NCI-H2126,0.34757864,1.149977,0.020772211,1.3564594,-0.13839605,0.31254002,-1.204017,-1.4785565,-0.7444374,1.5007622,-1.4486082,-1.6067007,0.6545842,-0.69361675,-0.610456,-0.25887305,0.93355554,0.22298759,0.18833849
HuNS1,-2.2902036,1.3684437,1.513288,-1.0235707,1.5868683,4.9313655,2.3364103,4.165791,-1.238118,-8.330875,-0.69018716,5.0756226,2.4074123,-2.3412948,-2.6646314,6.087371,-5.618443,-2.1972582,-0.25667012
OCI-AML-3,-0.19821185,0.7982809,0.2721654,-0.6622517,0.7684069,2.542911,0.7761579,1.0446942,-2.2611742,-3.6835017,-0.2669002,1.7851212,1.3374783,-0.9761884,-0.1451908,3.0863795,-1.512048,-0.90789264,-0.31815648
YD-15,-0.2240099,-0.2107498,-0.078910016,0.005358815,0.13373166,0.11147608,0.14648548,-0.20822383,-0.41859442,0.09491885,-0.66214705,-0.35419017,-0.080746576,-0.3927309,-0.3559162,-0.0812228,0.21153456,-0.3004318,0.1307947
SNU-398,-0.13069174,-0.047226608,0.10750497,-0.1681647,0.19595024,0.07863979,0.7507387,0.37850907,-0.01868842,-0.77869636,-0.110237814,0.38975418,-0.3273871,0.14706813,-0.42960423,0.41877908,-0.3797017,0.18381113,0.29974368
NALM-6,-1.092754,1.7150102,1.5602449,-1.699335,1.3921559,6.7666817,1.9179461,3.4322424,-1.705797,-8.868792,-0.6276684,5.4902945,3.520987,-3.280505,-2.1154923,7.9878025,-6.186296,-2.1253905,-0.81660163
COLO 668,0.41338873,2.0829043,0.40246123,3.4855852,1.5687659,-0.869035,-0.07582007,0.87663126,1.8466785,0.004076183,-0.07552618,-1.1522428,0.68602884,-0.02074971,-0.52051616,-0.56666327,0.81600416,1.1057789,-0.3211442
HEC-59,0.25496316,-0.030669479,-0.09708936,0.048413664,0.06235884,0.07085398,0.15687555,-0.30311662,-0.6439216,0.15495655,-0.22830994,-0.28409392,0.069413885,-0.19086269,0.014859218,0.1887869,-0.010175277,0.34874648,0.14492612
COLO 849,-0.24008456,-1.0806718,0.04763285,-1.9362835,-0.00873558,-0.6458803,1.294047,-0.035562962,-0.049848825,0.48385662,0.2620971,-0.08542362,-1.6562293,0.8960176,-0.3459106,-0.8247023,-0.33490124,-0.16147119,0.4647596
KLE,-0.053757027,-0.025391063,-0.14604105,-0.16456166,0.48684263,-0.70993775,0.16810033,-0.016171888,-0.21668544,0.12417205,-0.4966432,-0.6888782,0.095788546,-0.23961714,-0.26321164,-0.58759314,0.31023696,0.35173666,0.17294244
SNU-46,-0.06709148,-0.79114866,0.1119058,-0.5426273,-0.2259528,-0.6246228,0.77192223,0.14566076,-0.20135807,-0.13811627,0.048036672,-0.08820291,-0.52199054,-0.03811765,-0.20023052,-0.16400109,0.15980406,-0.23546928,0.15301724
Hs 821.T,0.72806454,-1.41367,-1.4752716,0.4359653,0.10116122,-4.2107325,2.1383047,-0.040331416,0.9680693,2.859796,1.2351885,-3.3563755,-4.2626452,0.68051195,0.1592924,-2.7391768,3.534898,1.3053873,-0.049494237
SK-ES-1,0.22419551,0.2731018,-0.24837616,0.64224994,0.4663937,0.14002055,0.8564436,1.0861865,0.3532608,-0.7730887,0.3865685,0.42942116,-0.32197046,-0.34489438,-0.10181929,0.31457773,0.04517897,0.08439545,-0.0131206475
NCI-H1876,0.44818673,1.6152196,0.20098895,3.1416016,1.1197679,-1.6015499,0.19756585,0.2776145,1.603771,0.0156002045,0.22976826,-1.5833387,0.26634568,0.039068162,0.37783492,-0.6711734,1.8181205,0.95769536,-0.028562188
NMC-G1,-0.105630636,-1.5284014,-0.008867033,-1.1664321,-0.31029636,-1.0901077,1.7808735,0.34325418,-0.08346761,0.0801812,0.40576434,-0.3411634,-1.4148589,0.13397995,-0.51749086,-0.42898268,0.041585,0.0933979,0.08113566
COR-L279,0.85511196,2.3197093,-0.0014872551,4.386335,1.5063579,-2.0030646,0.64732635,0.8274431,2.8286855,0.3389492,0.4744087,-2.338651,0.15189688,0.26874655,0.34506178,-1.2242656,2.2743547,1.7123166,-0.5438598
LN-308,0.23910917,-0.67004,-0.068486236,-0.27171382,-0.061987948,-1.4968114,1.0064949,0.089621626,-0.05616913,0.7470985,0.43694583,-1.079156,-1.3423338,0.30606693,-0.12842448,-0.9476281,0.8549291,0.28086352,0.35516217
KNS-60,0.1545498,-0.9965186,0.08354246,-0.9986087,-0.22908708,-0.9633599,1.485568,0.42041054,0.26211715,0.011936556,0.50458944,-0.357871,-1.3227192,0.052753344,-0.4681664,-0.4028342,0.13194638,0.07803102,-0.07657844
HSC-2,0.27577183,-0.21413904,-0.5162587,0.33336642,0.35564333,-0.36537245,0.0808376,-0.28981602,-0.21247064,0.047019623,-0.7036404,-0.40238267,0.016961008,-0.61257637,-0.48608607,-0.29619172,0.3794607,-0.17413804,-0.2417014
KCI-MOH1,0.018100023,0.068092376,-0.26479933,0.26264033,0.06769332,0.9474293,-0.1157133,-0.18319829,-0.4283941,0.11175199,-0.8660102,-0.18766557,0.5228814,-0.8429717,-0.87546587,0.23460789,-0.41904256,0.05071716,-0.3633306
HCC4006,-0.9284172,0.88712984,0.8502718,1.6294143,0.3602427,-1.9778726,-0.05631826,-1.3495607,-0.34913057,1.6704544,-0.9227593,-2.8500977,-0.43005687,0.042273104,0.008936197,-1.6433067,2.100413,-0.53600913,1.5158703
OELE,0.8190808,-0.7314833,-0.9132044,0.43987104,0.10543329,-2.2542925,0.7677642,-0.41449988,0.50157166,1.9643722,0.2534908,-2.174284,-1.6679153,0.26836044,0.2355028,-1.5964482,1.8501298,1.1783113,-0.16522284
JHH-7,-0.4086428,0.34884408,0.13285133,0.7915174,0.23090649,0.13670832,0.20524515,0.17825548,0.5013813,-0.096315965,-0.5641504,-0.2242774,-0.22738224,-0.2211231,-0.70642674,0.22506957,-0.11775108,0.27719155,-0.058793098
AN3-CA,-0.12385824,-0.28559825,-0.053992037,-0.62266,0.15596162,0.38495085,0.40717822,0.32225645,-0.5438086,-0.5304018,-0.22695866,0.49554846,-0.07808836,0.16877677,-0.30752656,0.51434517,-0.61884815,0.089607365,0.06419621
CAL-51,0.03748408,-0.07656134,-0.16238916,-0.035813034,0.035837807,-0.22085468,0.2810399,-0.38802618,-0.46777442,0.5454388,-0.07453879,-0.6296962,-0.15925938,0.028102614,0.21304786,-0.14845844,0.41255352,0.26211604,0.16987224
