,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
NCI-H1703,-0.08878935,-0.36598358,0.10480569,-0.3652408,-0.31800598,-0.4263091,0.5695765,0.13641289,-0.18764271,-0.0049083233,0.23036481,0.02081849,-0.64471215,-0.09121357,-0.2422483,0.1357095,0.012882292,0.0060808808,0.2888019
CML-T1,-1.0991331,1.2898111,1.8592496,-1.0925364,1.2895379,4.611125,1.6675286,3.405675,-1.3719689,-7.134352,-0.18571207,4.237142,2.4154687,-2.286831,-1.358106,5.941528,-4.463386,-1.5127468,-0.56699246
SW480,0.39076507,0.3105275,-0.13765126,0.4205665,0.0011532828,0.035624877,-0.40029112,-0.28989038,-0.093046024,0.4121173,-0.5657812,-0.52465844,0.26078162,-0.21105483,-0.03653945,0.20896453,0.102798395,0.43499687,-0.19627272
LN-340,0.2026707,-1.2215294,-0.29177895,-0.68187493,-0.24802345,-1.5626549,1.5339873,0.33640864,0.25596935,0.87918633,0.62965536,-0.9022861,-2.1351786,0.30191007,-0.20511891,-0.8832942,0.7500547,0.15200773,0.15559071
A101D,-0.082343414,-1.3079574,0.1346469,-1.8398957,-0.055372067,-0.4010607,1.5288295,0.25371072,0.13396116,0.031394828,0.29305205,0.14255752,-1.7768087,0.8024112,-0.50184196,-0.65826476,-0.6243376,-0.12280457,0.08313822
COR-L23,-0.038190275,0.44993433,-0.227718,0.5152559,0.15312313,0.18367809,-0.33336154,-0.27436277,-0.09833821,0.5215881,-0.93970066,-0.75692314,0.3630364,-0.29106617,-0.26236826,0.1796563,0.08618411,0.17551832,-0.22836472
SW1271,-0.010316968,-0.6820478,-0.055220596,-0.8692694,-0.3959458,-0.28209895,1.0446845,0.29187763,-0.21034032,0.010173555,0.20175472,0.2658046,-0.79545045,0.04069383,-0.41918674,0.04143949,-0.3856038,-0.2072734,-0.036776066
Hs 934.T,0.78790617,-1.4092691,-1.2943524,0.4002581,-0.008416474,-3.8807602,2.019978,0.09020796,0.94618523,2.5324142,1.2406492,-3.1312523,-4.1853094,0.5755403,0.27832925,-2.7312999,3.3957634,1.318831,0.06371221
PSN1,0.096191294,-0.34727693,-0.28406045,-0.48623714,0.016146846,0.29778963,0.4628244,0.37300086,-0.17674871,-0.00253232,-0.16672148,0.036970407,-0.02689138,0.03652631,-0.23642638,0.33102566,-0.40501875,0.13558114,-0.3869928
MDA-MB-157,0.0037221685,-0.6919592,0.2568829,-0.71069896,0.05243487,-0.654559,1.1971476,0.26165965,0.0036771446,-0.22071144,0.63479555,-0.19552733,-1.0575235,0.17628112,-0.42423344,-0.08632259,-0.14160167,-0.077765845,0.37901315
HMCB,0.02920118,-0.31731248,0.5640457,-0.6944138,-0.07047921,-0.4223307,0.7262243,0.084960185,-0.47535548,-0.27665874,0.2960932,0.09232556,-0.4955084,0.6679328,0.0587059,0.051169798,-0.20803696,-0.48291487,0.60833514
IGROV-1,-0.2776398,-0.28233662,-0.025841638,-0.25558662,0.23498893,-0.43773323,0.20159793,-0.12220816,-0.71943855,0.0824102,-0.49926534,-0.7153431,0.05608155,-0.041538075,-0.1271666,-0.23835471,0.3188698,0.15816616,0.4280177
HLF,0.021014191,-0.84225744,-0.08926314,-0.86727494,-0.23446414,-0.5782808,1.3079638,0.25629085,-0.20778793,0.045415144,0.24310678,-0.21145281,-1.154587,0.2685662,-0.40783224,-0.07416043,-0.116633914,0.040133342,0.0642783
Hs 895.T,0.21483672,-1.3172508,-0.5466588,-0.2125512,-0.03750445,-2.550469,2.0212064,0.2912203,0.62569237,1.3602984,0.921378,-1.8456564,-3.0584583,0.41366595,-0.13694094,-1.7294042,1.7766939,0.7793245,0.06473604
COR-L311,0.45046926,2.182375,0.09817907,3.2794771,1.304629,-0.70379144,-0.07550868,0.719993,1.6392109,-0.51119417,0.057411216,-1.3325129,0.82964814,-0.27763844,-0.047079325,-0.31184307,1.6392361,1.2568179,-0.5052356
L-428,-1.5407003,0.80467725,1.4056802,-0.670313,1.0924437,2.4005084,1.6884942,2.7644844,-0.76936245,-5.013278,-0.7373413,2.5339437,1.0980895,-1.22968,-1.5721183,3.3272026,-2.9570618,-1.374346,0.31052434
HCC827 GR5,0.18719193,1.0143516,-0.024844855,1.8077493,0.22653693,-1.0887365,-0.8003768,-1.1858475,0.06260711,1.7920856,-1.406023,-2.715961,0.0769784,-0.1055526,-0.50391144,-1.0960207,1.6666994,0.6350016,0.6960771
Hep 3B2.1-7,-0.05127748,0.3554389,-0.15102412,0.84321487,0.04749149,0.26969925,0.23050144,0.04272102,0.3208426,0.18140468,-0.5951941,-0.49759376,-0.11690149,-0.090033986,-0.45758554,0.17718467,-0.19404018,0.49061778,-0.064330846
MOLT-16,-1.6173382,1.1726182,1.6415523,-1.175116,1.1368492,4.6541386,1.8774829,3.6053486,-1.7164038,-7.269082,-0.41380695,4.1616287,2.3246384,-2.1484518,-1.7301568,5.9646645,-4.6675,-1.7351295,-0.3931428
C2BBe1,-0.11726257,0.4888395,-0.21568897,1.3043268,0.2478889,0.023022633,-0.5157266,-0.2988379,-0.40359765,0.8276259,-1.1034378,-1.0167873,0.543138,-0.41516846,-0.5776592,-0.04891619,0.37978637,0.6084491,0.009460451
DoHH2,-3.7087507,1.3825393,1.631999,-2.2431848,3.1593988,7.6523747,3.7014863,5.668558,-0.76782686,-12.6791115,-1.5979047,7.001595,3.0633416,-4.3469095,-4.1693177,8.632353,-8.676219,-2.7112079,-0.32781565
HuT 78,-1.304298,1.3635087,1.5449133,-0.5052645,1.2925758,3.7437081,1.5629923,3.26859,-1.0599703,-6.163103,-0.15395896,3.2647166,2.0867612,-1.6642556,-1.540324,4.841048,-3.6820245,-1.5937939,-0.66667503
Kuramochi,-0.0042907745,-0.40932918,-0.44348115,-0.3981811,0.24366167,-0.6156697,0.37551463,-0.07890923,-0.49484017,0.15120314,-0.5830492,-0.4186735,-0.20784602,-0.06937584,-0.2300871,-0.5658101,0.044482775,0.1697014,0.08192756
23132/87,0.6726989,2.1445742,0.2117376,2.3893814,0.29278392,-0.14193752,-1.364404,-0.8584634,-0.71627176,1.6843238,-1.465786,-2.0525208,1.1212945,-0.36485392,-0.6821822,-0.4692924,1.4987674,0.9254812,-0.02746211
NCI-H2106,1.0651133,2.7541008,-0.39999306,4.7307644,1.4263781,-2.7033374,-0.44131535,0.19342764,2.665574,1.1566497,0.36378443,-3.0729337,0.6130717,0.39448845,0.8095123,-1.4896904,3.4056926,2.1646192,-0.46471974
NCI-H596,0.1715754,-0.46163476,-0.31131506,-0.07432182,0.1501095,-0.69679487,0.21190274,-0.31487903,-0.12299001,0.5110928,-0.66902024,-0.7873571,-0.5135772,-0.35179377,-0.35170186,-0.2968722,0.7145571,-0.106233664,0.16608375
OUMS-23,0.34517303,0.83824944,-0.058618292,0.9704137,0.14134008,-0.00017029047,-1.1013266,-0.983184,-0.6463946,1.2529597,-0.9171256,-0.9947373,0.5325128,-0.51782495,-0.086680725,-0.26038983,0.7829749,0.49070945,-0.09652217
Pfeiffer,-2.8810408,1.2839733,1.4794668,-1.1647822,2.305357,5.0867825,2.7320154,4.251672,-0.60006624,-8.9862995,-1.409599,4.9065146,2.139983,-2.784648,-3.1641698,6.289336,-5.7884912,-1.8119413,-0.42769468
U-178MG,0.24430764,-1.3091332,-0.26501852,-0.84405375,-0.36934543,-2.137116,2.0735607,0.43886515,0.6045064,0.81448436,0.87811947,-1.2425444,-2.425447,0.35865858,-0.23368742,-1.1910601,0.98764336,0.32329756,0.12012982
SW1116,0.78016114,2.15096,-0.030798107,3.0346262,0.6345898,-0.7247224,-1.4657259,-0.51726264,-0.08317773,1.8503377,-1.6520935,-2.4898067,1.211962,-0.4849038,-0.8454133,-0.5161065,1.4415871,1.6814575,-0.07643446
Mono-Mac-6,-0.17924847,0.78831375,0.59065795,-0.8983765,0.5810337,2.924745,0.8328315,1.1820138,-2.3203695,-3.686553,-0.44383726,2.147321,1.3857484,-1.006743,-0.24930951,3.300016,-1.7188869,-0.64564,-0.2861537
HT,-3.4251432,1.2384086,1.4229423,-1.8613585,2.8823974,6.379886,3.3561213,5.097123,-0.50979793,-10.979153,-1.3205916,6.184458,2.4143448,-3.74994,-3.6195264,7.592179,-7.5503683,-2.2605777,-0.20403607
SaOS-2,0.1121403,-0.7420969,-0.06343768,-0.6191392,-0.19060063,-0.8307751,1.2871907,0.35793358,0.07625292,0.054651108,0.5957942,-0.078271054,-1.1062081,0.2952345,-0.2905992,-0.0036976486,0.04128152,0.23874715,-0.038304247
OV-90,0.38788536,0.2024703,-0.18984094,0.7197014,0.17445876,0.18439387,-0.03187494,-0.22401316,0.1854177,0.48619124,-0.32158872,-0.45007074,-0.0714469,-0.11787212,-0.36907172,0.25634974,-0.06348823,0.6296132,-0.11284877
HCC1937,0.15583313,0.3180318,-0.44216165,0.4180253,0.09420623,0.39038467,-0.40886667,-0.7138844,-0.46169347,0.4830929,-1.0661227,-0.61140156,0.35310063,-0.6041264,-0.7157742,0.02881509,0.4173063,-0.09268788,-0.06504019
SW620,0.23114112,0.76159537,0.06272571,0.9204402,0.0023426414,0.37338233,-0.09996794,0.15283078,0.15034133,-0.23374723,-0.24725284,-0.08577119,0.28266695,-0.07027276,-0.35496575,0.6723895,0.069682956,0.2864548,-0.10392673
EPLC-272H,0.08403757,-0.006232694,-0.24475583,0.7597104,0.5106513,-1.1597,-0.0051245242,-0.4870807,0.022734609,0.75604904,-0.82848936,-1.3773394,-0.3239773,-0.48025808,-0.13325113,-0.90566915,1.1852607,-0.12001896,0.29128134
Calu-3,-0.57576156,0.6774441,0.13735183,0.88433427,0.3515293,0.20709386,-0.458835,-0.608411,-0.5946722,0.66417825,-1.4752462,-1.402252,0.58031356,-0.42034376,-0.5356467,-0.50824904,0.22393468,0.5103965,0.1104394
LP-1,-0.29420453,0.9590492,0.71317554,-0.74916005,0.97081023,2.134812,0.6961805,1.6131477,-0.42997622,-3.3479996,-0.27483764,2.1014252,1.3028393,-1.0815386,-0.77187634,3.4699817,-2.046952,-0.70892674,-0.1592579
DBTRG-05MG,-0.08428392,-1.2814646,-0.028679803,-1.1864597,-0.29676867,-0.94422674,1.6009841,0.29102728,-0.06939101,0.10853845,0.32644695,-0.12069901,-1.2875508,0.16589664,-0.47058564,-0.40700346,-0.043545272,0.13463949,-0.017967775
Calu-6,-0.21978483,-0.40981317,-0.07216126,-0.5758228,-0.04779168,-0.09287574,0.7061826,0.35717756,0.07685667,-0.3836028,0.2559945,0.42379707,-0.4181682,0.07927266,-0.22318558,0.3487156,-0.41793668,-0.17289554,0.056927893
BDCM,-2.3619027,1.1277884,1.6320922,-1.4444613,1.8857077,4.8202963,2.5188823,4.178806,-1.3638537,-8.677158,-0.8723352,5.0914307,2.3884468,-2.4086866,-2.737971,6.148755,-5.810096,-2.4987836,-0.27831572
SNU-503,0.73265517,1.1560578,0.046443194,1.7282925,0.57289,-1.3764741,-1.0582709,-0.85588044,-0.60401106,1.038615,-0.35904986,-1.8863249,0.35864824,-0.27033055,0.43249017,-0.44541276,1.9145658,0.15487811,0.5332092
Hs 255.T,1.091473,-0.94874954,-1.5193231,0.82901424,0.35052246,-4.086825,1.9196208,-0.07134958,1.0941635,2.6794872,1.225487,-3.2674956,-3.878849,0.8403682,0.30285883,-2.7214453,3.5627913,1.6943235,-0.26035613
NCI-H292,-0.15909779,0.29338238,-0.45313013,0.78291243,0.3371193,-0.8574183,-0.16019577,-1.2311516,-0.6189556,1.5512316,-1.2804062,-1.8001128,0.020644426,-0.5009542,-0.3796839,-0.937346,1.3741081,0.29614148,0.27698517
