,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79
LOX-IMVI,-0.38889924,1.5127821,1.3254675,1.7427573,-1.7882706,0.9470419,-3.5487242,-0.21229365,1.5932026,-0.1068044,-1.7922736,1.1394587,2.1785164,-2.7568583,-0.5052231,1.4037442,2.0424707,1.5932732,2.2641768,0.18269868,-2.453017,-0.48926502,2.18225,-0.6113766,-0.5188345,0.49708414,-2.9453878,0.5423624,0.17745373,-1.0724682,0.5205026,1.2556924,2.514944,0.30419025,0.04045124,-0.13505873,0.65725356,-0.6752619,0.2808553,-1.3860108,0.65826774,-0.6323124,1.445311,-0.71571714,1.9496133,-0.23455423,-1.0944946,-0.50650185,-2.9224424,0.45252997,1.1432706,0.34203914,1.3820714,-2.7751408,-0.62579566,0.30347475,-0.7401027,1.3110566,-2.2443526,0.29846027,-0.080640644,1.3989725,-2.324555,-3.0906856,-1.2088127,0.32251158,1.4865826,-2.2732937,0.31628177,1.6388289,-0.5105627,1.3395406,-0.8411574,0.6161909,-0.54270047,3.1456563,0.54700625,1.2390335,-1.9026167,0.32231736
Panc 05.04,-0.29869324,1.0991529,-0.095159315,0.8850124,-1.574071,0.82692504,-3.7228744,1.1152653,0.78045404,-0.6496972,-2.4733233,0.10107515,3.078807,-2.4054322,-1.4505253,1.2120986,2.1297607,0.043899685,2.6336544,0.2833771,-1.5338082,0.49505794,2.4062634,0.61774474,-0.09984391,0.13962972,-2.0525024,0.8570149,0.830753,-0.5983026,-0.3103567,0.8279577,2.4580421,0.57773185,-1.0781763,-1.0195606,1.8907329,0.04374664,0.16773652,-0.018386547,1.1170366,-1.0330813,1.4527966,-0.67262983,2.0694008,0.32975835,-0.6200932,-0.6281954,-2.5180793,1.361726,1.4471232,0.42278817,-0.06872365,-3.0082562,-0.25541848,-0.0135712195,0.11649565,0.65005404,-1.9159906,-0.34949195,-0.64337385,1.3791875,-1.5163587,-2.93782,-0.16506565,0.28747287,1.273597,-1.0145127,0.11830327,1.0199039,0.15162225,0.7826226,-0.24265346,-0.48629972,0.06856514,1.9492769,1.3682427,0.6183665,-1.9969172,0.71735394
NCI-H1915,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
SK-CO-1,-0.5421792,1.1933484,0.4453589,1.2062652,-1.2409151,1.3373642,-3.6679773,1.0836627,0.8449037,-0.8667376,-2.4305398,0.21353556,2.9769266,-2.5246837,-1.379367,1.1584953,1.935065,0.24579,2.538477,0.33286846,-1.7367243,0.2816079,2.1383085,0.38690758,-0.09237997,0.10641617,-2.3968327,0.74656826,1.0181884,-0.8889374,0.1665968,0.8681286,2.3928418,0.31895587,-1.3970994,-0.7679002,2.2134018,0.37665516,0.3768351,-0.2509724,0.9275073,-1.0766243,1.2396475,-0.7887601,2.4681606,0.556677,-1.0853288,-0.6227523,-2.448294,0.84246784,1.1695037,1.0074083,0.041524917,-3.1186652,-0.40017623,-0.5022084,-0.37016523,0.86635745,-1.855051,0.22316384,-0.79900604,0.8372052,-1.7529497,-3.2436366,-0.20204026,0.70945305,1.0870693,-1.1004977,0.43867463,0.9220256,-0.18159622,0.40940773,-0.5950319,-1.0409187,-0.063751675,2.1407418,1.0124943,0.70028025,-1.9432479,0.8904184
SNU-449,0.25462836,0.9745896,-0.3794318,0.85621774,0.40358254,0.9298679,-0.7020443,0.45048404,0.11459732,0.43431845,-0.53502846,0.44231528,0.6206141,-0.0942368,-0.84846365,0.8539686,0.45210028,0.2918726,0.4515761,0.12426032,-0.79844004,-0.29041478,0.42454764,-0.17371522,-0.117231354,-0.34660634,-1.2568392,0.1731511,-0.20493522,-0.28185987,0.66271526,0.28886393,-0.11447493,0.21926491,-0.42402226,-0.7430966,0.23149016,1.1641188,-0.35459512,0.013522741,-0.24652714,-0.8246268,-0.8799256,-0.41395357,0.34419793,-0.011906674,0.070585154,0.44907662,-1.1780444,-0.06345559,0.10966144,0.37153855,0.31097308,-0.35179225,0.30837637,-0.18945873,-1.0867943,-0.13887063,-0.13892068,-0.19265407,-0.13173385,0.5106974,-0.4806476,-0.87743807,0.3869052,-0.1749885,-0.6854818,0.39564505,0.22957633,0.5803587,-0.35528073,-0.53698546,-0.10053362,-0.5162762,-0.8304177,0.8986872,0.23496817,0.0017307275,-1.0320753,0.11614331
NB1,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
COLO 205,-0.5362778,1.2282653,0.5699889,1.2771767,-1.344145,1.3320497,-3.6772509,0.918363,0.9538288,-0.7621693,-2.242576,0.38778424,2.7362704,-2.5933807,-1.1713284,1.1961417,2.0254035,0.27828836,2.598089,0.20779003,-1.9206277,0.2037487,2.046844,0.3027132,-0.29554033,0.0731863,-2.5501373,0.69469833,1.0009022,-0.85746354,0.38774723,1.0830026,2.496131,0.38423306,-1.1784228,-0.5721251,1.7975634,0.29595628,0.48225334,-0.23219159,0.89248,-0.9889757,1.3220451,-0.802257,2.3698308,0.62936205,-1.1366701,-0.5963631,-2.6542463,0.5174965,1.1151584,1.0092025,0.40981477,-3.0120525,-0.44427004,-0.6039897,-0.37845126,0.8168804,-1.7530683,0.21580197,-0.7056408,0.8989205,-1.7751952,-3.4820213,-0.4583936,0.6293079,1.0232892,-1.368959,0.21931493,0.9976586,-0.24324904,0.5453769,-0.5987167,-0.91550106,-0.2468964,2.2783194,0.8559142,0.57682127,-1.8949564,0.9873318
ChaGo-K-1,0.11903769,0.49014747,-0.16412482,0.41637397,-0.0016410332,0.9445456,-0.13524428,0.4889641,-0.32196474,0.15776794,-0.47582284,0.44693232,0.50428903,-0.12647712,-0.69817984,-0.024288837,0.25205395,0.018164892,-0.24457048,0.108599216,-0.18570878,-0.1574521,-0.04292981,0.15254155,0.22555847,-0.31196642,-0.2642528,0.09339581,-0.31177926,-0.26078695,0.4734772,0.15675552,-0.28799173,-0.13282205,-0.24953376,-0.072534256,0.3534308,0.8664598,-0.23769361,0.11242205,-0.5155794,-0.3509564,-0.95089823,-0.10852599,0.29381597,-0.3513429,0.101423256,0.1638503,-0.4671017,-0.36149675,0.03768335,0.7732231,-0.04469841,-0.8071854,0.25258893,-0.58456254,-0.5966961,-0.15188614,-0.12130151,-0.015295948,0.23222558,-0.06489963,0.1920597,-0.5357554,0.10510505,-0.13016146,-0.18297975,0.42103913,0.41050586,-0.18073677,-0.23703986,-0.7831013,0.065750785,-0.50789887,-0.64214987,0.48889792,-0.12429989,0.20213695,-0.21211682,0.23233691
Hs 578T,-0.08765471,0.3963911,1.0239748,0.7363435,-0.28632095,0.22967415,-0.02410462,-1.0261756,0.57764065,0.30767414,0.122092746,1.1052985,-0.5529946,-0.2979056,0.6101107,0.23801845,-0.06545015,1.1110754,-0.09444964,-0.06655811,-0.8121283,-0.6929068,-0.46181437,-0.4533424,-0.59523165,0.058896404,-0.68163866,-0.18662216,-0.3900242,0.03033726,1.0345706,0.63640493,-0.25848046,-0.3964508,0.9321409,0.5770799,-0.84780353,-0.04919606,0.48107582,-0.784807,-0.58714473,-0.10714,-0.2747741,0.1803333,0.012626981,-0.81829077,-0.68140584,0.5136478,0.009775772,-0.8835651,-0.70515835,0.070674,1.1900802,-0.21939608,-0.10372406,0.23591928,-0.7047566,0.5347523,-0.15312985,0.09498981,0.6645223,0.047154922,-0.65305835,-0.50830346,-0.23459414,-0.059905425,-0.062469903,-0.5552997,0.2856803,0.44120622,-0.58717257,0.07524762,-0.47022143,0.6595777,-0.73737925,1.2067287,-0.8412948,0.29096797,-0.14098671,-0.5361942
L-540,-0.1522711,1.2229737,-0.8590254,0.8663464,-1.4050735,1.2827723,-3.6486692,1.9248488,0.45556253,-0.4953374,-2.7852151,0.05274834,3.9045546,-2.3362665,-2.059756,1.4520327,2.1368551,-0.28315058,2.3518171,0.22260095,-1.5565296,0.4361036,2.6307697,0.8040758,0.09469206,-0.41187423,-1.9538395,1.3871776,0.71541834,-0.7197131,-0.3588759,0.44740266,2.4818852,0.8232587,-1.187417,-1.3813105,2.1120393,0.6102463,-0.1661837,0.41913962,0.9888308,-1.0957053,0.9543522,-0.8352792,1.9589366,0.410531,-0.13173723,-0.72608095,-2.9526045,1.8010768,1.8598008,0.91660416,-0.60455084,-3.128067,0.053901333,-0.41375256,-0.025979131,0.18934503,-1.753917,-0.40411893,-0.9296658,1.6656882,-1.0341473,-3.0987434,-0.15415621,0.12518877,1.1348947,-0.52963716,0.11063387,1.1239136,0.34326166,0.32722571,0.054461963,-0.81104517,0.019681351,1.8495262,1.8688397,0.3043243,-2.316565,1.3837265
SNU-520,-0.010102646,1.2194512,0.15256085,1.5727826,-0.32882264,1.5270011,-2.590094,0.0862371,1.1101217,-0.23506786,-1.0709286,0.106524825,1.9080983,-0.9528767,-1.7191112,1.9563518,1.0901091,0.4151422,1.1887438,0.20615579,-2.1054099,-0.41600588,1.3050312,-0.06260768,-0.44622657,-1.1613181,-2.7136517,0.8392381,0.6725563,-0.8174959,0.65139925,0.6809531,0.677486,0.22756653,-1.1397146,-0.69839764,1.8932052,1.0450941,0.20909458,-0.58000964,0.52742445,-1.0240928,-0.3280328,-1.520277,2.0179365,0.18422042,-0.59378856,-0.19387273,-1.6495413,-0.14434808,0.7504263,0.8621878,0.75424296,-1.488605,-0.0044624666,-0.091597624,-1.3067898,0.4640068,-0.929898,-0.056177102,-0.77948815,0.81477904,-1.9576565,-2.3500264,0.5176159,0.8802602,-0.53286004,-0.5707143,0.067900434,0.6841684,-0.86990654,-0.7956181,-0.5353416,-0.78084975,-0.82428366,1.873497,0.5561558,0.121895164,-2.0866878,0.89697886
Hs 706.T,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
BGC-823,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
CADO-ES1,0.025240975,1.1316155,-0.8538011,0.91902924,-1.362351,1.3053108,-3.7009516,1.7512175,0.08335057,-0.33415177,-2.6805174,0.083184965,3.9149463,-2.3518045,-2.3653882,1.0019103,2.4635293,-0.3757529,2.404777,0.040920384,-1.5240084,0.47729632,2.6679232,0.8310964,0.29284105,-0.43134463,-1.9152931,1.3764899,0.48683771,-0.78164136,-0.50800097,0.5919493,2.4466567,0.7734212,-1.4506506,-1.4556016,2.0034091,0.5404257,-0.3650415,0.7040894,0.8537698,-1.1119827,0.91428167,-0.55871737,1.9612051,0.3588511,0.108845495,-0.6370083,-3.192457,1.7938722,2.1517646,0.83618754,-0.5723386,-3.3987617,0.09388175,-0.42887574,-0.2864169,0.35823274,-1.9312894,-0.6349905,-0.59293306,1.5776454,-1.0566612,-3.0369046,-0.24302946,0.04356635,0.96408975,-0.4382166,0.17791185,1.0468215,0.17559883,0.550756,0.1645813,-1.0200785,-0.17476556,1.7742023,2.0333166,0.633043,-2.2274554,1.3403618
Hep 3B2.1-7,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
GSS,0.4389229,1.5248395,0.0857288,1.1434344,0.7746462,1.164195,-1.1532423,0.24745604,0.7702496,0.29821438,-0.38169786,0.63513166,0.7373877,0.09773409,-0.3718713,1.3122506,-0.19380376,0.3958508,-0.030170383,-0.37528196,-0.49077395,-0.5443894,0.6052533,0.24939176,-0.5517387,-0.9992226,-1.7355237,0.021773294,0.13918811,-0.05144181,1.666569,1.0442219,-0.25189215,0.2546559,-0.52196056,-0.63675606,0.71961695,1.8938434,0.05372404,0.33222407,0.1786289,-1.1924769,-1.7817879,0.12084516,0.5063283,0.062090546,-0.77623165,0.680252,-0.66181296,0.092139326,-0.3461644,0.81223184,0.4792436,-0.67595017,0.64285326,-0.7596857,-1.7495483,0.22751322,-0.29600063,0.1956916,-0.10647422,-0.2180498,-1.0790273,-1.3109609,0.9546849,0.43719053,-0.7975865,0.25633556,0.40841815,0.59714454,-0.09831786,-0.90854627,-0.23823887,-1.1613042,-0.7253976,0.9591209,-0.1366546,0.3920906,-1.4059353,0.3037947
SNU-1040,-0.27495363,1.1394504,2.6058226,2.342517,0.8645873,1.7806773,-1.1720828,-1.7428244,1.6458025,0.22347867,-0.04698767,1.9160889,0.4149459,-0.12972486,1.3645198,1.4728874,-0.009968169,1.4929831,-0.044472083,-1.121758,-1.5919346,-1.410283,-0.43760988,-0.86364996,-1.5128561,-1.0874445,-3.224301,-0.15732113,0.11461935,0.21678838,3.576024,1.6395612,-0.6708416,-0.8841056,0.92494386,0.48746002,0.15536352,1.4384391,2.1021192,-1.1795064,-1.3278425,-1.1351495,-1.3314248,0.1534059,1.1378958,0.092178725,-2.1043513,1.6495376,-0.17874041,-2.079141,-1.84311,1.142691,2.6569448,-0.34168223,-0.25396955,-0.35350093,-2.8798883,0.5220129,-0.37849608,0.7352334,0.13256927,-0.5895781,-3.1911924,-2.3089607,0.6972588,0.8477352,-0.80699915,-0.13582005,0.3666942,0.57697695,-1.3636289,-1.4890814,-1.4664487,-1.1845461,-1.6914102,2.3781512,-1.4431331,0.6943519,-1.6827985,0.17596745
KMRC-3,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
BICR 31,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
SIG-M5,-0.29279196,1.1340699,0.029470496,0.95592403,-1.677301,0.8216105,-3.732148,0.94996524,0.88937914,-0.5451286,-2.2853591,0.27532408,2.8381512,-2.4741292,-1.2424864,1.2497449,2.2200992,0.07639808,2.6932662,0.15829858,-1.7177116,0.41719875,2.314799,0.5335502,-0.3030042,0.1063998,-2.205807,0.8051448,0.8134669,-0.56682867,-0.089205936,1.0428315,2.5613315,0.64300907,-0.8595,-0.8237852,1.4748943,-0.036952265,0.27315462,0.00039431342,1.0820092,-0.9454329,1.5351942,-0.68612665,1.971071,0.40244344,-0.6714347,-0.60180616,-2.7240314,1.0367546,1.3927782,0.4245825,0.2995664,-2.9016433,-0.29951206,-0.1153524,0.10820973,0.600577,-1.8140079,-0.35685372,-0.5500087,1.4409027,-1.5386043,-3.1762052,-0.42141888,0.2073279,1.2098166,-1.2829739,-0.101056404,1.0955367,0.0899695,0.91859174,-0.24633816,-0.3608819,-0.11457969,2.0868542,1.2116625,0.49490744,-1.9486256,0.814267
8305C,-0.11561538,0.3000662,0.49775165,0.4984482,-0.3955382,0.20430969,-0.20938726,-0.6241739,0.46199667,0.17943296,0.05562545,0.7621857,-0.403605,-0.26061857,0.47530168,0.2884995,0.042587392,0.5149387,0.18761545,-0.083185695,-0.43720508,-0.27804288,-0.35926718,-0.15141223,-0.63539386,0.0019648427,-0.57350004,-0.32618782,-0.06983365,0.059380297,0.9282714,0.7578656,-0.2132831,-0.14821084,0.5689956,0.40165114,-0.42608657,0.24934345,0.45939973,-0.45274234,-0.2517975,-0.13451067,-0.16102996,0.09165231,0.21908219,-0.477553,-0.46993533,0.29066086,-0.03392034,-0.7699126,-0.604609,0.10144209,0.84572124,-0.24927486,0.0078004836,-0.10973252,-0.28385547,0.006303395,0.015382053,-0.15578826,0.34527487,-0.050803475,-0.42616537,-0.6985321,-0.05358596,-0.11064786,-0.004197147,-0.2043106,0.042232107,0.11919516,-0.28702596,-0.20640008,-0.30433547,0.25393382,-0.65220696,0.8197493,-0.6984946,0.123716675,-0.16869971,-0.223397
NCC-StC-K140,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
NCO2,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
MOTN-1,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
TOV-21G,-0.19156286,0.9589429,0.80487734,1.2121217,-0.5366918,0.8933668,-2.8819427,-0.6239059,1.2915677,-0.39635137,-1.0379002,-0.017145209,1.3962927,-1.0900271,-1.2638392,1.7278953,1.2304475,0.66902477,1.6800524,0.27898708,-1.9249663,-0.14239717,1.1081733,0.19955322,-0.50134325,-0.47120047,-2.7470517,0.48354563,0.971029,-0.5611642,0.48530445,1.2922679,0.7973343,0.20254727,-1.0170739,-0.50107235,1.4611024,0.026406178,0.44695675,-0.5715096,0.7693452,-0.9078655,0.43360195,-1.2443359,2.0905704,0.041634597,-0.8849156,0.012080335,-1.3483001,-0.41065082,0.33610308,0.2974269,1.1205093,-1.6254498,-0.2328676,0.32782236,-0.7585059,0.53427625,-1.1563728,-0.2222893,-0.41150296,0.7797848,-2.266032,-2.4110913,0.6239459,0.8732231,-0.23137005,-0.8859519,-0.25699916,0.6505285,-0.82232285,-0.16871335,-0.476933,-0.23386441,-0.78927016,1.8872962,0.10156123,0.46110672,-1.9337865,0.036398288
KP-N-YN,-0.26483104,1.2303946,0.55569404,1.1938193,-1.5680838,0.84697497,-3.5468652,0.54796374,1.005023,-0.4168875,-2.2188919,0.6184373,2.6887617,-2.5114164,-1.1076776,1.1992638,2.1120617,0.6725346,2.4112015,0.17492606,-2.0926354,0.0023347992,2.2122514,0.23162004,-0.26284197,0.16333139,-2.3139455,0.94471055,0.4932764,-0.59587175,0.017092917,0.92137074,2.5161343,0.3947691,-0.49635467,-0.6483563,1.0531772,-0.3354919,0.29483065,-0.33167025,0.746662,-0.91806227,1.4214506,-0.5974456,1.7646159,0.06170542,-0.88290536,-0.37881935,-2.680335,0.9231023,1.2922285,0.3938144,0.643925,-2.8717642,-0.41103673,0.2302991,-0.31269157,1.1290257,-1.9825199,-0.10607557,-0.23076117,1.538861,-1.7654976,-2.9859765,-0.60242724,0.2580703,1.1515436,-1.633962,0.14239167,1.4175478,-0.21017729,1.2002393,-0.41222423,0.044761807,-0.19975188,2.4738336,1.0688624,0.6621587,-1.9209126,0.5014701
