,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79
COV504,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
SLR25,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
NCI-H1436,0.35657674,0.44478717,-0.39434448,0.31295624,-0.05019255,0.8318258,-0.38641283,0.43785584,-0.25107488,0.22128543,-0.5573621,0.36967105,0.81861216,-0.047422897,-0.65546155,0.20037389,0.2171544,-0.30832812,-0.34103644,-0.21398377,0.21564272,-0.26061356,0.14695875,0.5316749,0.23825221,-0.6716039,-0.16741367,0.3117852,-0.25202808,-0.014332336,0.4745777,0.042249124,-0.25701153,0.036462832,0.019062947,-0.23477723,0.39410144,0.9296129,-0.29932362,0.2986271,-0.21155961,-0.39748856,-1.071955,0.34297073,0.1334463,-0.49572033,0.025825202,0.3249118,0.086692035,-0.01084243,0.14090092,0.50723696,-0.16257997,-0.8140881,0.39103636,-0.3137802,-0.4461401,0.018007824,-0.34082815,-0.36859354,0.2860755,0.057888653,0.16397887,-0.29292876,0.30773517,-0.024861244,0.017683612,0.2444836,0.31481448,-0.3596075,0.28637165,-0.73757845,0.17873202,-0.2191435,-0.51359296,0.36133844,0.10446334,0.1943726,-0.39129758,0.4159431
SW1573,-0.29869324,1.0991529,-0.095159315,0.8850124,-1.574071,0.82692504,-3.7228744,1.1152653,0.78045404,-0.6496972,-2.4733233,0.10107515,3.078807,-2.4054322,-1.4505253,1.2120986,2.1297607,0.043899685,2.6336544,0.2833771,-1.5338082,0.49505794,2.4062634,0.61774474,-0.09984391,0.13962972,-2.0525024,0.8570149,0.830753,-0.5983026,-0.3103567,0.8279577,2.4580421,0.57773185,-1.0781763,-1.0195606,1.8907329,0.04374664,0.16773652,-0.018386547,1.1170366,-1.0330813,1.4527966,-0.67262983,2.0694008,0.32975835,-0.6200932,-0.6281954,-2.5180793,1.361726,1.4471232,0.42278817,-0.06872365,-3.0082562,-0.25541848,-0.0135712195,0.11649565,0.65005404,-1.9159906,-0.34949195,-0.64337385,1.3791875,-1.5163587,-2.93782,-0.16506565,0.28747287,1.273597,-1.0145127,0.11830327,1.0199039,0.15162225,0.7826226,-0.24265346,-0.48629972,0.06856514,1.9492769,1.3682427,0.6183665,-1.9969172,0.71735394
NCI-H2110,0.35657674,0.44478717,-0.39434448,0.31295624,-0.05019255,0.8318258,-0.38641283,0.43785584,-0.25107488,0.22128543,-0.5573621,0.36967105,0.81861216,-0.047422897,-0.65546155,0.20037389,0.2171544,-0.30832812,-0.34103644,-0.21398377,0.21564272,-0.26061356,0.14695875,0.5316749,0.23825221,-0.6716039,-0.16741367,0.3117852,-0.25202808,-0.014332336,0.4745777,0.042249124,-0.25701153,0.036462832,0.019062947,-0.23477723,0.39410144,0.9296129,-0.29932362,0.2986271,-0.21155961,-0.39748856,-1.071955,0.34297073,0.1334463,-0.49572033,0.025825202,0.3249118,0.086692035,-0.01084243,0.14090092,0.50723696,-0.16257997,-0.8140881,0.39103636,-0.3137802,-0.4461401,0.018007824,-0.34082815,-0.36859354,0.2860755,0.057888653,0.16397887,-0.29292876,0.30773517,-0.024861244,0.017683612,0.2444836,0.31481448,-0.3596075,0.28637165,-0.73757845,0.17873202,-0.2191435,-0.51359296,0.36133844,0.10446334,0.1943726,-0.39129758,0.4159431
KHM-1B,-0.29869324,1.0991529,-0.095159315,0.8850124,-1.574071,0.82692504,-3.7228744,1.1152653,0.78045404,-0.6496972,-2.4733233,0.10107515,3.078807,-2.4054322,-1.4505253,1.2120986,2.1297607,0.043899685,2.6336544,0.2833771,-1.5338082,0.49505794,2.4062634,0.61774474,-0.09984391,0.13962972,-2.0525024,0.8570149,0.830753,-0.5983026,-0.3103567,0.8279577,2.4580421,0.57773185,-1.0781763,-1.0195606,1.8907329,0.04374664,0.16773652,-0.018386547,1.1170366,-1.0330813,1.4527966,-0.67262983,2.0694008,0.32975835,-0.6200932,-0.6281954,-2.5180793,1.361726,1.4471232,0.42278817,-0.06872365,-3.0082562,-0.25541848,-0.0135712195,0.11649565,0.65005404,-1.9159906,-0.34949195,-0.64337385,1.3791875,-1.5163587,-2.93782,-0.16506565,0.28747287,1.273597,-1.0145127,0.11830327,1.0199039,0.15162225,0.7826226,-0.24265346,-0.48629972,0.06856514,1.9492769,1.3682427,0.6183665,-1.9969172,0.71735394
SF172,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
M-07e,0.025240975,1.1316155,-0.8538011,0.91902924,-1.362351,1.3053108,-3.7009516,1.7512175,0.08335057,-0.33415177,-2.6805174,0.083184965,3.9149463,-2.3518045,-2.3653882,1.0019103,2.4635293,-0.3757529,2.404777,0.040920384,-1.5240084,0.47729632,2.6679232,0.8310964,0.29284105,-0.43134463,-1.9152931,1.3764899,0.48683771,-0.78164136,-0.50800097,0.5919493,2.4466567,0.7734212,-1.4506506,-1.4556016,2.0034091,0.5404257,-0.3650415,0.7040894,0.8537698,-1.1119827,0.91428167,-0.55871737,1.9612051,0.3588511,0.108845495,-0.6370083,-3.192457,1.7938722,2.1517646,0.83618754,-0.5723386,-3.3987617,0.09388175,-0.42887574,-0.2864169,0.35823274,-1.9312894,-0.6349905,-0.59293306,1.5776454,-1.0566612,-3.0369046,-0.24302946,0.04356635,0.96408975,-0.4382166,0.17791185,1.0468215,0.17559883,0.550756,0.1645813,-1.0200785,-0.17476556,1.7742023,2.0333166,0.633043,-2.2274554,1.3403618
JM-1,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
EFM-192A,-0.2086572,0.27931222,1.0360895,0.56060684,-0.14414564,0.26542684,-0.20860203,-1.0352244,0.5350858,0.26454297,-0.022653839,1.0027851,-0.3697453,-0.47492364,0.58779365,0.3699543,-0.13904329,1.1711905,0.14217275,-0.07950714,-0.82455003,-0.65018845,-0.6081222,-0.12306463,-0.593556,0.12899496,-0.7775176,-0.039836645,-0.020109685,0.032753065,1.1214286,0.8314344,-0.09179519,-0.25355458,0.87281054,0.52075464,-0.93301475,-0.2629195,0.5206984,-0.51507694,-0.45508412,-0.057281394,-0.12512359,0.29518995,0.17924565,-0.8983473,-0.7214547,0.55325425,0.041181438,-0.87396675,-0.84487325,0.18588041,0.99291915,-0.3650046,-0.052129436,0.054307263,-0.55036765,0.25967768,-0.08588622,0.112052724,0.5178588,0.0400229,-0.5648968,-0.8460502,-0.07804276,0.038565505,-0.029626671,-0.50054973,0.12209556,0.6133215,-0.47697994,0.14567386,-0.30791128,0.6448724,-0.77884406,1.2538147,-0.94114995,0.2834308,-0.34798124,-0.5645172
