feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
BRSK2,,,,0.03531813446786991,False
BTG1,,,,0.033583932670248125,False
BTK,,,,0.028691553854753218,False
BTRC,,,,0.03171593861839848,False
BUB1,,,,0.03025036888820754,False
BUB1B,,,,0.01799006381397012,False
C15orf2,,,,0.009088196658750929,True
C15orf55,,,,0.016641299852172154,False
C17orf37,,,,0.10020469534151602,False
C6orf97,,,,0.031171918828584503,False
C9orf96,,,,0.018157805148554473,False
CABC1,,,,0.01840647764712199,False
CACNA1F,,,,0.01771235394922535,False
CACNB2,,,,0.017186870526483985,False
CAD,,,,0.015036850450113028,False
CAMK1,,,,0.0162186028566687,False
CAMK1D,,,,0.04369900547054185,False
CAMK1G,,,,0.000564348094494384,True
CAMK2A,,,,0.00034275992765020247,True
CAMK2B,,,,0.04063695932129882,False
CAMK2D,,,,0.04047128703261342,False
CAMK2G,,,,0.000663996727500276,True
CAMK4,,,,0.02312958350010748,False
CAMKK1,,,,0.057874394586865094,False
CAMKK2,,,,0.03630135152447137,False
CAMKV,,,,0.015088498182829223,False
CARD10,,,,0.007076774923965579,True
CARD11,,,,0.020956428155241437,False
CARD14,,,,0.010732561299571066,True
CARD9,,,,0.020137825776048515,False
CARS,,,,0.0073323376264714454,True
CASC5,,,,-0.00013701590850759214,True
CASK,,,,0.02067503408655774,False
CASP1,,,,0.040797071776592544,False
CASP10,,,,0.04176965121962723,False
CASP2,,,,0.011458648828656407,True
CASP3,,,,0.00038336367817384603,True
CASP4,,,,0.01593414297007623,False
CASP6,,,,0.02875515425405533,False
CASP7,,,,0.015131887760736462,False
CASP8,,,,0.0231589038094679,False
CASP9,,,,0.001054665924164058,True
CATSPERB,,,,0.011080379540623918,True
CBFA2T3,,,,0.021644758647494503,False
CBFB,,,,0.050151949015765966,False
CBL,,,,0.033892448483743585,False
CCDC50,,,,0.04516548717108507,False
CCDC56,,,,0.0001400047836432839,True
CCDC6,,,,0.0022185815916598403,True
CCL3,,,,4.336328311415652e-06,True
CCL4,,,,0.0001440490413845328,True
CCNA1,,,,0.03331379064976984,False
CCNA2,,,,0.03390876990663855,False
CCNB1,,,,0.0289855552805743,False
CCNB1IP1,,,,0.0008278476015737712,True
CCND1,1.0,,False,0.05742542068503133,False
CCND2,1.0,,False,0.02934460469652069,False
CCND3,1.0,,False,3.758896600358668e-05,True
CCNE1,,,,0.0001834070190155129,True
CCNG1,,,,0.04054191107890576,False
CCNT1,,,,0.031184891309373828,False
CCR1,,,,0.00012518970803133758,True
CCR4,,,,0.02271418440329391,False
CCR5,,,,0.027011124179659115,False
CD160,,,,0.0002349155801828895,True
CD40,,,,0.05032646381370582,False
CD40LG,,,,0.022558957714338735,False
CD44,,,,0.009278840371778016,True
CD79A,,,,0.06727601952993369,False
CD79B,,,,0.02553236909431367,False
CDC25A,,,,0.035816246076355696,False
CDC25C,,,,0.028004656629239448,False
CDC34,,,,0.08630400382966848,False
CDC42,,,,0.028720279512021062,False
CDC42BPA,,,,0.018904459089905436,False
CDC42BPB,,,,0.02218235333273992,False
CDC42BPG,,,,0.02771706266987487,False
CDC5L,,,,0.027663574115059198,False
CDC7,,,,0.009402961188873037,True
CDC73,,,,0.023105613652768548,False
CDH1,0.0,0.016708672081291495,True,0.02229176368416644,False
CDH11,,,,0.012456363627544445,False
CDH2,,,,0.03005929546909928,False
CDH3,,,,0.018126856183345266,False
CDK1,,,,0.04078931597837589,False
CDK10,,,,0.0005094848217341571,True
CDK11A,,,,0.029124633762916474,False
CDK11B,,,,0.043514870288933964,False
CDK12,,,,0.013514404458950566,False
CDK13,,,,0.020623465409125085,False
CDK14,,,,0.017570179607166895,False
CDK15,,,,0.04694523238171043,False
CDK16,,,,0.00014843778533420667,True
CDK17,,,,0.02346691872473129,False
CDK18,,,,0.04530431525582688,False
CDK19,,,,0.06703532472133748,False
CDK2,,,,0.01738759400904639,False
CDK20,,,,0.03571202061441718,False
CDK3,,,,0.04459763656526479,False
CDK4,1.0,,False,0.00017225009351553265,True
CDK5,,,,0.0005911260190852085,True
CDK6,1.0,,False,0.022446319185472133,False
CDK7,,,,0.0756656220796106,False
CDK8,,,,0.010786892103950077,True
CDK9,,,,4.6439508162569905e-05,True
CDKL1,,,,0.05073399104651417,False
CDKL2,,,,0.024866690387357702,False
CDKL3,,,,0.009438869835041906,True
CDKL4,,,,0.019752708357871088,False
CDKL5,,,,0.028126020757398437,False
CDKN1A,,,,0.033435015857088655,False
CDKN1B,,,,0.00018928138806214074,True
CDKN2A,0.0,0.23893401076246837,True,0.005633224295367156,True
CDKN2B,,,,0.08017342706820815,False
CDKN2C,0.0,0.013963962159064952,True,0.017178445227741045,False
CDKN2D,,,,0.00015704885397613342,True
CDKN2a.p14.,0.0,0.22408853592765182,True,,
CDX2,,,,0.008868011487951464,True
