target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,LSR,0.0007170808194346402,IntegratedGradients
Erlotinib,0,,rna,EMP3,0.0009399496943097553,IntegratedGradients
Erlotinib,0,,rna,POU2F2,0.00044958818289355306,IntegratedGradients
Erlotinib,0,,rna,S100P,0.00032670652026480846,IntegratedGradients
Erlotinib,0,,rna,LAMB1,0.0004595509348446938,IntegratedGradients
Erlotinib,0,,rna,CAP2,0.0006391429582560035,IntegratedGradients
Erlotinib,0,,rna,PARVA,0.0003693532618616853,IntegratedGradients
Erlotinib,0,,rna,GPRC5A,0.0004722596114842156,IntegratedGradients
Erlotinib,0,,rna,ZEB2,0.00042734410573262927,IntegratedGradients
Erlotinib,0,,rna,SAMSN1,0.00027865817045060745,IntegratedGradients
Erlotinib,0,,rna,PLCG2,0.0005710381667477438,IntegratedGradients
Erlotinib,0,,rna,CD3E,0.0003730532615516596,IntegratedGradients
Erlotinib,0,,rna,TFF3,0.00043224423501157653,IntegratedGradients
Erlotinib,0,,rna,RBM47,0.0005708276418073614,IntegratedGradients
Erlotinib,0,,rna,LAPTM5,0.00036844409245636087,IntegratedGradients
Erlotinib,0,,rna,CCDC69,0.0008375169394090644,IntegratedGradients
Erlotinib,0,,rna,DDR2,0.0011371480824485865,IntegratedGradients
Erlotinib,0,,rna,CDH3,0.001423639969248448,IntegratedGradients
Erlotinib,0,,rna,B3GNT3,0.0015550392014650584,IntegratedGradients
Erlotinib,0,,rna,PAX8,0.0005019947709041622,IntegratedGradients
Erlotinib,0,,rna,KRT19,0.0007060495948457622,IntegratedGradients
Erlotinib,0,,rna,VIL1,0.001068938299045326,IntegratedGradients
Erlotinib,0,,rna,ANTXR1,0.0005527996468309817,IntegratedGradients
Erlotinib,0,,rna,IL2RG,0.0006117863245402216,IntegratedGradients
Erlotinib,0,,rna,PRKCB,0.000479035605257572,IntegratedGradients
Erlotinib,0,,rna,SH3BP4,0.00040977857630914994,IntegratedGradients
Erlotinib,0,,rna,DDC,0.0003611751609359922,IntegratedGradients
Erlotinib,0,,rna,RAG2,0.0001659917791208894,IntegratedGradients
Erlotinib,0,,rna,KIRREL1,0.00046311810553649474,IntegratedGradients
Erlotinib,0,,rna,EHD2,0.0007757630114146025,IntegratedGradients
Erlotinib,0,,rna,CD3D,0.0003642199162053092,IntegratedGradients
Erlotinib,0,,rna,JUP,0.0004243829013196731,IntegratedGradients
Erlotinib,0,,rna,GPR35,0.00037678470083084774,IntegratedGradients
Erlotinib,0,,rna,FAM114A1,0.0003147658779485507,IntegratedGradients
Erlotinib,0,,rna,EGFR,0.001314619021622362,IntegratedGradients
Erlotinib,0,,rna,PERP,0.00038246117476842424,IntegratedGradients
Erlotinib,0,,rna,PRSS23,0.0008615224583850344,IntegratedGradients
Erlotinib,0,,rna,TGFBI,0.0006678885336467439,IntegratedGradients
Erlotinib,0,,rna,SEPTIN10,0.000665307111395738,IntegratedGradients
Erlotinib,0,,rna,KRT6A,0.00072833997712434,IntegratedGradients
Erlotinib,0,,rna,DAPP1,0.00042416386317053496,IntegratedGradients
Erlotinib,0,,rna,SPDEF,0.0005135221508401678,IntegratedGradients
Erlotinib,0,,rna,TNFRSF1A,0.000606812185912939,IntegratedGradients
Erlotinib,0,,rna,FHL2,0.0007041878032476512,IntegratedGradients
Erlotinib,0,,rna,HNF4A,0.0005996182671111599,IntegratedGradients
Erlotinib,0,,rna,FERMT2,0.0009252631415722015,IntegratedGradients
Erlotinib,0,,rna,APOA1,0.00021929303570284315,IntegratedGradients
Erlotinib,0,,rna,IGLL3P,0.0005149266686616974,IntegratedGradients
Erlotinib,0,,rna,VIM,0.0013603515766294552,IntegratedGradients
Erlotinib,0,,rna,ITGB4,0.0006461624604269592,IntegratedGradients
Erlotinib,0,,rna,ELMO1,0.0004907130280178821,IntegratedGradients
Erlotinib,0,,rna,ZAP70,0.0003346595360196326,IntegratedGradients
Erlotinib,0,,rna,CTNND1,0.0005072504862751655,IntegratedGradients
Erlotinib,0,,rna,RTL8C,0.00031931310405919556,IntegratedGradients
Erlotinib,0,,rna,GYPC,0.00044140944495666133,IntegratedGradients
Erlotinib,0,,rna,PLEKHA1,0.0008861475103035134,IntegratedGradients
Erlotinib,0,,rna,TM4SF5,0.0002271989843831487,IntegratedGradients
Erlotinib,0,,rna,EHF,0.0004106518943988002,IntegratedGradients
Erlotinib,0,,rna,CLDN3,0.0003231820793940656,IntegratedGradients
Erlotinib,0,,rna,LAPTM4B,0.0003354061181325133,IntegratedGradients
Erlotinib,0,,rna,ARHGEF6,0.0005230924324341827,IntegratedGradients
Erlotinib,0,,rna,LST1,0.00018255810345506863,IntegratedGradients
