feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
BRSK2,,,,0.0268062971942638,False
BTG1,,,,0.03358807592546628,False
BTK,,,,0.030836121126536983,False
BTRC,,,,0.03174519611457936,False
BUB1,,,,0.016341750734096105,False
BUB1B,,,,0.01801188935131881,False
C15orf2,,,,0.006457742572695871,True
C15orf55,,,,0.022082514755574434,False
C17orf37,,,,0.10020824126682341,False
C6orf97,,,,0.032023335441787856,False
C9orf96,,,,0.02698953428265871,False
CABC1,,,,0.019299287752178984,False
CACNA1F,,,,0.014892860788927945,False
CACNB2,,,,0.017212260876783545,False
CAD,,,,0.01169581715776843,False
CAMK1,,,,0.017369936848081125,False
CAMK1D,,,,0.031374903868172196,False
CAMK1G,,,,0.000574241601416887,True
CAMK2A,,,,0.0003486417503132472,True
CAMK2B,,,,0.04064739392977073,False
CAMK2D,,,,0.04049080372773008,False
CAMK2G,,,,0.000677580500237709,True
CAMK4,,,,0.01623348965255016,False
CAMKK1,,,,0.057886802999384354,False
CAMKK2,,,,0.03633664628717464,False
CAMKV,,,,0.01600510206457351,False
CARD10,,,,0.0042161833041968536,True
CARD11,,,,0.021014096629081915,False
CARD14,,,,0.020812684148404384,False
CARD9,,,,0.02097621102400234,False
CARS,,,,0.007751134882472839,True
CASC5,,,,-0.0004457430228000339,True
CASK,,,,0.012880926758318574,False
CASP1,,,,0.029130168618103535,False
CASP10,,,,0.031700526414941026,False
CASP2,,,,0.0220608003812036,False
CASP3,,,,0.00038861059508882637,True
CASP4,,,,0.016726270278860582,False
CASP6,,,,0.028757253709194797,False
CASP7,,,,0.015159332541079837,False
CASP8,,,,0.024188805999755286,False
CASP9,,,,0.0010713869600608072,True
CATSPERB,,,,0.011248497007410839,False
CBFA2T3,,,,0.032244095836604,False
CBFB,,,,0.05015444872097195,False
CBL,,,,0.02672137701282285,False
CCDC50,,,,0.04521983778174935,False
CCDC56,,,,0.00014217426653536847,True
CCDC6,,,,0.0022233685806020615,True
CCL3,,,,4.020192346752608e-06,True
CCL4,,,,0.00014624539377411255,True
CCNA1,,,,0.017859104864061556,False
CCNA2,,,,0.03391621378938683,False
