,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36
A-172,66.39187,145.14548,130.6171,-28.667452,129.7886,109.96506,-148.06303,-16.481283,24.68541,-115.01475,-0.17949647,-40.522614,60.952595,92.89218,135.86917,-122.307205,60.317596,55.731476,-32.99565,-177.91365,103.10435,0.6195749,-38.362072,-34.006813,-102.4196,-134.23477,-142.7282,65.72734,16.20234,11.55693,54.36179,-46.9531,-10.783517,-156.37285,-196.86923,-159.90877,-78.96645
SU.86.86,-2.8074417,103.024506,115.30625,-35.301018,73.20461,57.087543,-119.91265,-113.81721,114.17386,-91.781715,-163.18579,-31.07815,21.519009,128.60977,99.66393,-122.25737,0.2698401,50.359108,51.955936,-160.43268,45.961716,127.28816,-49.103157,-60.285793,-133.41002,-82.90115,-104.68137,127.056465,127.985916,93.23436,-13.374071,-34.223827,9.029007,-103.28602,-77.529076,-49.16517,-8.317868
KALS-1,71.00747,148.53416,122.71388,-33.612053,127.20842,89.9964,-148.00552,-24.184593,14.767251,-119.10152,1.5098453,-44.829426,68.861336,85.7791,137.72667,-112.799194,57.400448,54.444736,-37.352776,-167.60518,104.644936,4.6531377,-46.58344,-33.86706,-101.42806,-136.14847,-144.44037,71.412476,18.71048,10.485057,60.090424,-35.64127,0.019390434,-153.72964,-196.84967,-159.78479,-83.95265
ES-2,29.450459,99.617325,64.15735,-32.603954,98.68061,47.16725,-92.00719,9.440516,16.712961,-77.7506,-1.2077959,-24.54607,56.13497,57.87354,70.885056,-89.340164,-11.948215,57.926464,-44.09801,-101.816826,90.231224,-2.2465892,-25.21707,-20.364882,-60.931065,-88.39674,-93.374535,32.81523,33.041943,13.293214,55.776028,2.8131294,4.421805,-103.44698,-126.32323,-128.4337,-70.00165
HEC-108,419.50406,1150.673,373.30573,-1119.0708,1167.994,-21.536161,-1174.9188,-1074.4414,633.8402,-1178.6177,-868.35645,-1205.7556,1164.6713,1017.30536,684.5449,-1312.7627,-877.9209,916.72986,-178.94536,-1173.0889,1255.1,1138.907,-923.635,-1130.6599,-1150.2732,-976.6341,-1275.0459,1199.9227,1124.8464,724.24994,670.8233,715.57825,950.6191,-936.93774,-927.48724,-1032.448,-856.5302
NCO2,14.878424,211.35127,-164.29573,-9.532067,255.26045,86.870384,-215.76346,3.183987,-128.97166,-266.3048,145.48993,-151.2343,240.49675,246.13213,-12.048223,-241.28645,-318.7294,105.82063,-204.94353,-14.011428,256.844,249.29532,-105.95271,-188.41737,-24.933676,-170.92674,-179.91693,169.87015,170.7794,-25.731361,16.344769,260.65198,223.31071,-198.7543,-65.43043,-245.41924,-280.7703
Raji,42.055336,181.77016,-166.1953,-93.19308,318.91794,80.09277,-198.72795,30.345964,-60.3919,-366.59464,143.86198,-161.12007,305.6686,284.78912,-42.25185,-298.73663,-460.19617,104.86827,-210.05365,-17.618446,377.63416,346.67905,-143.85675,-254.69197,-82.36283,-224.36646,-210.625,229.77559,317.8697,53.955788,28.308304,288.7353,305.2643,-161.29265,-85.367386,-256.53412,-319.9593
TOV-112D,27.240585,62.06435,5.050265,-59.083435,62.297802,-3.546036,-37.988716,12.0945425,-13.867225,-88.29938,-7.750876,-36.906246,62.282967,23.639551,20.110489,-34.64994,-83.28264,48.705994,-35.71158,-40.722652,57.93315,10.482805,-49.19703,-58.345646,-2.7754366,-73.79791,-78.84178,35.874866,14.547322,8.847383,69.578094,45.371433,35.58434,-46.99456,-77.37437,-97.73655,-74.013596
KYSE-180,-31.440847,51.543556,63.31216,-33.04359,-12.486258,-61.441257,-41.11433,-97.9462,87.114174,-50.544434,-171.11145,-14.788798,-14.905456,48.77128,75.80353,-19.773428,12.381795,38.028046,60.714493,-92.105034,-32.59384,89.41098,-43.91174,-31.955845,-67.187904,-38.776672,-33.828835,116.765305,64.686066,40.647064,-15.992856,-33.630135,4.592695,-33.71272,-32.795467,27.900856,25.659151
SUP-HD1,3.5154502,141.12354,-75.298225,-42.055935,183.08342,45.158527,-131.35468,17.758102,-60.739693,-200.665,70.27317,-84.55914,165.59293,173.33768,-0.76048654,-174.6901,-254.6156,43.716396,-154.72705,-43.005707,197.4959,168.07426,-71.89796,-130.51978,-27.470345,-124.82488,-140.72318,102.77215,142.80446,-0.1870006,30.365505,176.05757,143.23674,-125.10354,-58.596535,-184.73619,-207.38232
TT,22.30144,86.2939,42.541718,-125.18827,62.040462,-45.81336,-63.526737,-50.767765,11.517053,-115.35859,-123.721466,-55.672188,74.07422,22.667793,22.912325,-20.241909,-128.36134,14.84244,-8.061295,-41.153465,58.07928,51.750828,-93.34251,-125.02331,-25.488588,-88.48479,-132.88145,83.38346,66.09501,87.76268,91.29575,76.65314,66.85825,-54.852806,-77.52146,-135.41617,-61.171646
BJ1-hTERT,137.6228,234.50816,200.00165,-32.28244,214.65381,200.31859,-248.5111,-21.619698,10.184566,-204.04504,59.37333,-76.8631,109.38736,149.88588,221.30829,-201.14526,105.72042,51.519657,-61.073387,-266.3898,178.3299,25.910591,-84.60263,-60.956455,-169.51836,-224.4544,-215.77829,104.66193,46.55092,-11.9327135,56.35457,-69.46044,8.564856,-253.11987,-297.7936,-252.40224,-148.60785
NCI-H1341,6.7398443,59.771748,29.223003,-61.705204,34.64031,-32.22456,-43.983345,-27.171637,8.433838,-74.47786,-77.318665,-30.311178,39.77744,31.294508,34.958923,-16.337597,-51.247353,28.816044,-13.920748,-48.651722,30.869156,37.419704,-48.603985,-61.332947,-21.59297,-64.995155,-84.07516,73.25511,32.447643,31.161331,47.316956,21.626604,26.901379,-44.645054,-62.36193,-69.5754,-36.820652
SK-N-SH,48.595055,97.68421,108.54457,-76.134575,103.865,37.537235,-98.38544,26.786995,-11.101814,-96.459946,-9.179187,-33.449852,56.337574,28.33729,86.5347,-62.222332,-11.867088,28.35062,-44.06244,-114.68999,88.88418,-31.867397,-61.43857,-69.20988,-49.313793,-120.14693,-137.46985,24.091043,-2.1837971,15.116812,104.066826,2.06558,3.8264568,-118.65407,-156.56503,-181.6065,-81.00372
KP-N-RT-BM-1,14.508547,41.872528,27.010386,-167.03484,60.936325,-88.03137,-11.378684,48.995296,-55.80158,-92.4959,-74.8738,-35.515965,82.908356,-27.271524,-34.538105,7.088598,-209.22466,6.5808797,-71.75061,-2.5637732,84.265335,-8.161782,-90.934456,-152.19461,35.23909,-88.54459,-146.13068,14.434777,32.333763,61.28531,172.59305,120.49698,60.467693,-34.229416,-71.591835,-190.54507,-92.06453
PCM6,14.296395,178.61507,-117.68863,-37.01753,252.35497,100.08294,-188.16978,11.860413,-78.50683,-273.61182,116.21078,-117.71297,229.13992,250.8487,-17.066462,-255.43192,-322.32767,83.150116,-210.50487,-47.804718,276.25833,256.89642,-93.22153,-185.57256,-55.748802,-165.26608,-181.0854,166.84921,213.34274,1.9210495,14.135949,219.71854,201.84276,-156.49342,-65.38093,-241.46167,-267.99997
G-401,22.936157,71.342445,8.593124,-46.426178,73.34372,17.195417,-49.5321,7.702463,-2.9708378,-95.57806,4.0091543,-33.736668,65.85407,45.002796,24.387978,-60.157433,-81.51304,51.71847,-49.424316,-53.794342,68.62292,24.672121,-37.86783,-58.207455,-7.504085,-75.22298,-74.751816,46.701973,37.379395,3.39669,53.269695,45.627712,37.119644,-58.825974,-79.52315,-96.16378,-73.615616
786-O,4.9107327,111.740685,58.155483,-7.373493,80.42529,66.819824,-98.84911,-35.200123,38.16989,-72.481186,-50.5685,-17.041397,53.613037,80.465324,82.54235,-89.38982,44.930973,68.96952,-13.383073,-122.88539,54.665607,17.023071,-15.649788,-9.971446,-74.469185,-74.6525,-99.62755,82.81426,15.713414,27.91179,31.676582,-22.443558,-8.374342,-89.8739,-127.18449,-97.483734,-27.297432
HGC-27,45.887768,95.038666,17.563663,-58.578453,96.12085,21.039606,-82.01583,-2.45929,-13.761532,-124.68712,12.736982,-63.295216,83.09379,49.229733,58.852097,-70.19713,-64.32264,54.78058,-40.46677,-70.40899,89.416756,33.58428,-68.97615,-69.385666,-33.150845,-104.20097,-100.72758,61.61169,28.249033,4.5586667,63.881565,47.87488,52.43571,-84.36034,-110.15894,-122.59524,-105.306465
AN3-CA,35.25425,94.741,19.339315,-76.34555,91.98355,10.349762,-72.18365,-23.925718,4.8621674,-112.95569,-15.358688,-71.42685,91.099785,57.086178,42.646812,-84.36235,-92.241516,70.92946,-49.571434,-78.94566,90.15086,41.87751,-60.81666,-78.88897,-37.951916,-89.307724,-102.03651,66.48991,48.682655,16.930647,75.959145,63.10342,54.93748,-71.68577,-96.27371,-112.69976,-91.678055
COLO 704,13.08282,52.42174,-16.074232,-127.94242,56.40603,-73.21757,-14.763097,10.162427,-26.819294,-96.25681,-58.374172,-43.236233,87.57849,0.38030612,-21.928648,-7.511389,-181.07135,35.64182,-60.909794,6.4063196,76.57652,25.608225,-78.83026,-113.11349,21.345186,-72.69416,-105.03031,47.535248,48.021633,55.956078,124.12021,115.24358,73.109276,-26.094296,-55.03454,-133.11778,-82.56664
EB2,46.67905,214.31183,-190.1097,-94.7869,353.81955,97.50216,-230.86633,25.874939,-79.04723,-397.52798,165.74246,-180.84804,336.87445,328.24554,-47.01769,-331.78387,-504.55307,113.94965,-245.34721,-22.729456,413.28323,382.4118,-153.76546,-272.59464,-92.22955,-244.51462,-239.15965,246.79529,342.97327,46.02281,20.501518,321.3807,329.91263,-188.94487,-92.66756,-295.69885,-361.45316
Panc 04.03,-18.36151,99.99166,126.57711,-47.223366,59.94255,24.079084,-117.245804,-148.2107,150.61505,-85.765335,-211.38977,-37.03557,13.128165,128.8336,114.69406,-122.77365,18.06991,60.614212,82.490036,-176.32964,31.114513,146.18477,-60.066216,-66.46841,-152.97488,-81.692345,-101.810135,153.64478,143.82874,115.248375,-19.076994,-47.10628,11.336216,-102.65797,-77.52541,-20.53678,14.242702
HT-1376,-18.69971,92.51751,102.653946,-38.9532,21.11998,-6.380629,-95.15814,-142.87306,109.43197,-78.1611,-213.25252,-40.82849,1.8063745,111.48056,105.321205,-82.446465,21.814592,53.678703,64.61892,-155.9998,-2.450539,136.80716,-52.474304,-57.602154,-122.47645,-63.268127,-88.41601,159.76581,108.61986,76.87989,-21.867601,-47.299923,2.9457638,-72.93609,-62.288235,-1.9752265,13.164857
59M,58.402054,132.2226,112.89697,-18.37809,112.499535,95.31223,-134.1115,-28.035383,30.22036,-97.1197,-14.54477,-29.947275,47.564533,89.27719,118.66499,-115.366936,47.199093,49.489006,-27.43419,-159.64587,86.320526,10.449356,-26.079554,-24.691217,-95.692215,-111.42358,-116.233215,61.363438,35.01878,13.386557,31.921991,-39.642315,-9.074284,-141.26709,-166.47057,-131.11122,-62.03998
OVCAR-8,16.241358,71.304146,36.920643,-27.711077,61.01457,20.991686,-64.755325,-16.356,30.521973,-59.817833,-36.35881,-13.817869,34.375862,44.905926,53.286064,-50.169533,-4.6428914,54.70869,-11.418503,-74.44523,47.13792,12.456652,-19.59554,-22.070942,-42.72666,-63.10923,-68.84755,43.91057,27.351791,29.642288,33.26736,-5.230095,3.0931187,-68.407845,-95.003426,-79.97361,-32.836514
A2058,26.276373,131.08968,73.12514,-48.247864,77.25227,20.256245,-90.33368,-21.743706,8.3172245,-76.87116,-37.774532,-53.87763,69.53985,46.084614,77.24186,-88.4043,-36.262173,83.688515,-43.812042,-118.88189,65.87424,-5.2204437,-27.422026,-23.480024,-65.92226,-73.69654,-103.679565,48.24081,17.319077,-11.165461,70.80541,11.660455,2.1311615,-84.00313,-122.95202,-100.90735,-77.57849
LC-1/sq-SF,-21.089483,50.00814,33.860134,-43.184364,0.7943513,-41.88101,-30.20383,-56.10853,35.751736,-45.447083,-115.32191,-23.601242,12.549506,30.483252,48.33199,-13.692047,-9.738216,45.262436,18.465818,-65.69796,-9.542084,45.671032,-32.68536,-30.84217,-35.075188,-34.02847,-53.348286,79.73154,24.465925,24.88176,22.504444,-6.2844095,0.93913954,-23.583899,-36.642727,-19.945686,-3.0624576
RD,70.05091,135.9258,81.88072,-44.330215,119.70244,61.07819,-122.49674,-1.1962177,-8.609481,-123.78855,9.447504,-55.0844,81.62657,66.89102,110.79151,-87.71726,9.732695,47.58347,-32.480076,-131.50613,99.02249,-0.13785745,-63.08756,-44.718254,-67.52698,-136.78119,-138.93692,57.112858,-0.9730812,1.3075714,74.6753,-1.9450277,19.840992,-132.79443,-178.8036,-158.57253,-105.860725
SNU-1041,-25.25321,88.6345,127.3514,-38.223022,9.032057,-14.503299,-91.19379,-148.53447,132.63597,-63.43928,-239.6649,-25.55683,-14.391039,93.86518,122.7938,-68.35523,69.09828,55.290897,94.4014,-170.67374,-20.967583,115.63725,-46.675304,-39.349228,-132.66496,-63.685112,-81.1118,157.04309,92.04639,85.192245,-23.58345,-80.6721,-17.07957,-73.05239,-74.62579,13.242017,44.003414
NCI-H1437,-5.1357594,71.21795,69.6726,-38.327892,24.054296,8.976801,-70.730705,-108.496414,69.614044,-79.00558,-137.97,-35.806385,6.866438,67.32191,76.67479,-50.845444,-1.6454777,22.758821,68.99069,-103.03686,-1.5748914,111.767555,-59.31681,-51.678032,-74.79202,-55.925194,-69.40717,102.72547,68.84189,58.12403,-23.216318,-11.203454,13.449572,-46.729053,-30.79107,-6.1894026,-8.2252245
B-CPAP,58.073093,146.95238,104.63504,-33.68351,142.32678,111.542435,-156.57617,-35.5328,36.488888,-119.40917,-8.2602825,-50.375957,73.41427,119.691315,114.46162,-145.92622,8.929663,63.354668,-45.187443,-164.37128,120.82197,41.099003,-39.044983,-43.92294,-115.48452,-122.87692,-134.81613,82.445984,63.405296,26.227873,34.268414,-17.83018,11.698358,-158.42206,-160.27707,-159.05205,-82.104095
COV318,24.91802,80.65734,41.140415,-33.465973,74.08271,30.291733,-75.73319,-40.808323,45.58337,-93.28434,-42.444542,-34.221664,46.024372,65.94718,53.692875,-75.8238,-31.19365,52.724174,-22.66293,-90.70889,56.060528,53.833214,-28.769144,-51.104828,-45.07176,-70.180305,-70.1279,74.76097,63.054237,25.556026,14.3775,10.862778,32.63837,-78.65547,-79.81363,-70.14866,-42.152096
OCI-Ly19,122.26639,244.4207,-206.05614,-93.63824,347.6581,107.81409,-257.25894,-21.411694,-78.62317,-374.84677,171.80392,-216.73277,312.1609,325.39227,-9.763142,-271.6391,-469.69226,110.52484,-180.99728,9.1094675,381.76596,356.4036,-175.69463,-238.04453,-110.06642,-263.92648,-257.28555,221.6237,324.48828,59.788605,-23.141472,301.42325,316.09372,-219.63524,-132.3123,-306.30133,-364.50842
CAMA-1,8.376619,69.043564,48.1056,-73.73193,31.087652,-17.303894,-53.83865,-81.42598,42.53322,-103.46896,-83.63724,-49.22916,27.604382,63.76352,50.27048,-43.0844,-89.87843,12.367786,20.86174,-65.9826,24.34724,111.62044,-77.03486,-77.637276,-42.97806,-65.83326,-60.80203,78.16135,70.174065,35.464817,-0.09571019,42.383358,43.919003,-44.901657,-28.300468,-20.856796,-54.07351
BFTC-905,-33.40201,72.419,90.52814,-40.424507,4.1491013,-35.194813,-75.64672,-144.94305,120.58459,-62.978905,-234.5459,-31.500883,-11.273159,91.59563,94.93758,-61.809868,25.752764,55.552116,89.571236,-137.02327,-20.401697,132.80266,-50.019444,-49.267124,-114.62124,-48.836243,-69.9974,155.03047,108.96581,89.42923,-26.343046,-48.75485,0.9919651,-54.813828,-37.640743,17.595003,34.5854
NCI-H69,20.574074,76.18045,5.1914783,-128.96312,54.53455,-75.421906,-46.446426,-37.93524,-2.6718655,-106.51205,-105.08977,-52.524643,78.949066,10.270714,7.955553,-4.040185,-148.91948,22.229723,-23.632318,-11.437799,63.290886,44.919228,-93.48073,-108.568924,-11.505573,-80.8867,-114.06503,76.20418,56.982986,78.82699,95.56111,95.26207,75.30806,-38.09816,-68.1664,-121.5159,-69.19014
Malme-3M,25.606012,184.01263,102.11425,-38.310158,85.22849,61.494186,-115.01245,-23.052946,-10.634592,-101.2151,-42.618507,-69.69564,92.49444,70.33795,85.18764,-140.63123,-41.19862,96.67607,-81.40784,-167.06749,66.83153,-5.321071,-20.571213,-29.08319,-81.23328,-75.43256,-130.47258,69.79344,11.463354,-58.11436,75.34041,5.7124224,-13.05409,-94.49188,-131.08609,-123.02806,-101.5237
T-47D,7.6198635,66.39622,59.184452,-63.366695,28.177052,-8.257928,-56.38129,-90.438034,62.78922,-93.00207,-104.7322,-44.761585,18.93422,68.89528,57.6381,-49.00752,-61.169296,20.058863,42.725773,-80.50512,15.651168,114.2922,-70.47973,-67.9648,-57.341568,-61.19949,-59.131657,88.45774,80.074974,43.70505,-11.57534,21.693644,33.20453,-46.810406,-27.673466,-11.325545,-34.684216
WM983B,8.354419,110.41782,53.905354,-39.29682,55.701756,13.23477,-60.41233,5.2828197,-13.198214,-62.749542,-20.78132,-34.611732,64.81407,30.02663,43.258568,-72.59674,-52.248775,71.07207,-64.88998,-88.92318,52.625156,-19.759613,-12.668672,-16.912294,-34.04292,-51.059845,-85.886314,31.111704,4.361195,-31.96952,74.17047,18.865013,-4.887212,-55.4633,-91.069664,-93.70563,-72.046776
THP-1,38.0208,215.1542,-167.76587,5.337388,251.19264,150.771,-221.76137,-23.681248,-113.75956,-269.59988,157.88997,-152.69383,220.1866,277.5617,-3.3330963,-266.136,-331.71484,98.80024,-219.6973,-67.19409,252.54366,235.56908,-90.3045,-188.65744,-19.99881,-150.50453,-149.85559,153.50159,166.3057,-46.188526,-12.106663,249.41933,213.3895,-199.2293,-82.71,-270.97998,-294.3993
EBC-1,-16.540207,65.13692,66.005554,-25.163618,31.975378,-0.17855568,-68.2051,-84.41919,88.51695,-55.277752,-152.00227,-15.504514,10.453532,75.20346,69.15385,-62.119816,12.658827,56.33,50.66446,-104.27958,12.298864,82.72186,-34.55904,-31.55159,-92.31144,-51.348072,-71.3652,105.79612,81.22319,80.84864,-1.441735,-30.99804,-1.2891443,-54.54996,-54.82761,-22.100676,13.701544
DMS 114,18.613596,55.961487,-4.4817944,-68.30301,62.39375,-14.909209,-32.252796,13.679538,-5.013202,-83.720024,-5.044382,-34.318546,62.40009,21.365334,7.52935,-37.039772,-103.10909,54.575256,-46.162025,-30.375526,62.48696,13.990347,-45.39525,-60.857822,2.557104,-66.02989,-65.02779,31.58522,32.066288,9.519641,68.16828,56.30415,42.957863,-41.04948,-68.23195,-97.62244,-68.65131
NB1,13.466866,48.400364,37.06861,-122.38302,55.6641,-55.660477,-19.092978,39.133263,-39.059708,-85.09458,-53.23189,-32.13053,62.900352,-10.819215,-7.2025323,-6.7747254,-155.33797,8.691272,-59.809807,-26.896408,62.52328,-7.637448,-76.98686,-117.92153,24.68527,-84.4886,-126.07633,13.541416,17.252361,28.662859,130.2496,90.33074,42.631306,-44.228554,-73.64049,-147.84857,-83.88167
NCI-H1581,9.256732,46.902725,-11.806228,-70.97293,56.777607,-27.46175,-24.754208,9.708623,-3.3981004,-85.51587,-20.616117,-37.249596,66.56996,24.652973,1.8031147,-34.467194,-114.38144,58.816303,-44.2221,-26.80009,59.130062,26.22078,-48.8776,-70.18873,5.4067535,-61.61339,-69.23057,42.610466,31.949368,21.72359,75.2529,67.413895,46.646606,-33.069073,-57.135826,-91.07399,-69.79005
HCC1500,5.9874816,70.35296,48.72445,-76.45361,25.654606,-25.162056,-49.26273,-79.24483,44.07008,-97.66552,-100.264725,-48.878017,29.555555,56.5293,54.121937,-30.255976,-78.2502,17.99615,27.289291,-67.748024,18.18285,101.64639,-79.03143,-70.37455,-44.85198,-63.616024,-70.31932,81.26928,57.599186,42.114357,12.659452,40.544174,38.138214,-38.04674,-35.1502,-27.543278,-49.055805
CGTH-W-1,84.87343,155.94006,125.99266,-37.05211,145.63042,107.933266,-157.51245,4.03076,2.6052635,-134.91266,35.866676,-51.16571,81.09061,85.91519,145.02066,-125.222115,50.53024,53.13556,-50.0569,-174.15388,122.79562,-7.703056,-60.306572,-35.04432,-102.35555,-151.53741,-148.3573,57.835274,13.409186,-7.4757495,70.72475,-34.986603,2.1361554,-167.09932,-209.51251,-188.46582,-113.629906
HDLM-2,1.8723109,161.49538,-94.431076,-18.083385,208.32838,81.41563,-158.55748,14.689811,-74.743675,-225.46455,109.95691,-93.30595,184.29166,216.88524,1.2894894,-212.36151,-271.32812,46.995365,-188.12941,-56.34502,222.0832,194.95761,-69.82497,-140.88062,-29.144335,-134.46948,-149.28232,116.781586,150.80586,-18.681524,14.277638,191.86513,159.0739,-148.7758,-63.384098,-208.10757,-241.11713
AsPC-1,-31.297472,142.58409,109.68234,-62.80566,119.445724,50.40491,-171.56514,-171.17458,178.42868,-124.33264,-212.39336,-74.50121,48.553604,157.44081,131.51091,-178.30447,-11.625776,110.61582,47.285778,-202.34251,82.12571,168.88799,-64.4154,-93.38882,-173.5987,-98.16994,-133.91234,179.593,177.80399,138.45868,-8.408251,-7.2254205,32.2165,-144.47427,-103.31052,-76.48755,-14.120106
SK-N-MC,21.184319,83.57561,-17.5323,-57.34266,91.852295,4.7393465,-67.71411,15.493482,-39.26372,-122.30967,25.112513,-52.940456,92.34532,52.395878,24.693342,-67.476364,-119.70024,46.859024,-76.94727,-38.05357,92.54515,43.61014,-65.70362,-82.584816,-4.509233,-92.03471,-95.98305,58.01923,36.51336,0.77212256,71.87876,85.49185,65.928894,-74.50911,-84.8766,-127.0446,-119.51311
KP-4,-9.536729,31.454693,14.745497,-46.31035,26.12982,-22.575294,-15.551146,3.3923187,23.45833,-33.851463,-47.866318,-8.180948,27.04666,11.476578,11.736453,-22.038643,-54.568733,60.197044,-19.177778,-34.982925,26.541986,1.3708247,-13.825842,-23.494465,-9.494627,-28.927866,-43.309067,26.064453,20.34098,24.305834,51.9707,21.699547,1.5267264,-20.231647,-42.620895,-55.75292,-21.53496
ACC-MESO-1,11.664392,79.64693,62.423813,-23.710615,70.07747,38.791607,-73.66438,-5.8066316,28.11736,-57.39035,-39.13006,-13.497513,33.911877,50.176186,64.00677,-72.87921,10.9323635,61.302883,-21.605309,-101.69608,54.897762,-1.5726887,-11.320716,-16.75405,-52.857624,-67.49472,-78.93807,39.643867,20.731524,20.155214,47.703453,-14.400753,-12.217492,-81.86861,-109.47773,-93.001366,-35.851463
SKM-1,45.68784,219.06544,-192.62799,7.615598,265.21124,154.1616,-230.43257,-28.880056,-126.21384,-276.71313,168.02614,-163.53949,234.89984,290.18457,-11.651231,-270.98425,-351.78317,104.62292,-222.43814,-54.51013,264.99817,253.04144,-96.07928,-198.2007,-18.321507,-157.8183,-158.32335,162.08469,176.53957,-42.334873,-17.54836,267.53705,228.5554,-203.91621,-77.68408,-280.12823,-306.19586
EM-2,41.75527,226.6516,-208.71132,-1.1322184,273.67532,128.51732,-229.57768,-26.773932,-124.69287,-289.5724,169.1934,-168.0977,245.3617,293.85077,-12.081924,-265.1504,-373.37125,106.18955,-224.02275,-30.585058,274.78894,275.13385,-110.57283,-197.85834,-24.417,-171.98141,-168.08774,173.55873,198.92775,-30.622751,-23.032646,280.4651,244.97005,-204.7123,-70.71823,-274.8556,-312.7794
HCC1806,-20.903385,85.06084,109.51305,-36.0149,17.438974,-10.989844,-91.10201,-139.90138,117.46249,-75.79561,-218.03087,-34.9286,-9.787574,103.94889,104.18674,-79.65917,24.731695,47.600323,75.660484,-154.70923,-9.272261,134.50014,-50.823574,-54.724556,-120.3249,-60.906147,-78.30022,151.97057,111.32813,75.51166,-32.993988,-53.255135,-1.2089226,-70.86628,-49.409565,5.4111195,20.273924
Fu97,-15.765289,167.9698,8.490822,-37.86162,136.65964,15.755467,-128.51437,-78.7197,99.90741,-178.00548,-94.95122,-95.15963,126.87885,94.78308,118.452896,-149.14526,-51.08112,134.71034,-6.815463,-147.52829,76.7446,132.78374,-63.117348,-101.32135,-61.31281,-112.49318,-126.8055,180.56055,118.38947,27.642199,20.438995,99.17819,96.475,-117.52177,-117.713036,-93.99513,-62.431828
SNU-489,104.14294,193.87592,156.15247,-30.766428,172.83653,151.54912,-199.03035,-17.011871,-0.8403698,-160.82268,36.414894,-62.266045,95.213524,122.612305,172.65054,-162.0217,80.186905,57.737434,-61.824448,-215.80269,141.98186,10.152946,-58.879898,-45.53046,-132.4621,-176.0696,-187.31891,88.31335,21.433836,-5.789357,67.71984,-49.696293,2.464755,-198.93945,-244.97057,-217.1668,-121.7546
SNU-620,-22.361937,105.617256,58.52236,-69.22812,80.78179,7.105237,-130.54652,-160.66411,114.54438,-129.07007,-181.8102,-82.28266,43.51301,119.364204,97.472,-113.841515,-44.140087,81.92779,41.09753,-138.38858,58.7578,176.7164,-78.94696,-106.49083,-121.166565,-81.31498,-112.14604,161.52408,139.85217,118.97799,-8.939956,24.588757,52.673405,-88.63987,-54.857815,-50.017845,-33.858093
RPMI-8226,11.907426,127.63506,-101.81244,-32.230865,180.9619,57.52415,-138.0826,-8.388001,-57.688805,-216.4085,63.679947,-97.51084,171.43222,183.33453,-17.72384,-175.08994,-247.6266,66.803406,-131.40569,-19.936167,194.87376,215.26562,-83.26215,-154.48753,-41.73437,-130.46977,-140.36717,148.50943,169.91112,22.94093,6.035957,170.05577,165.23856,-107.286736,-38.168262,-169.45784,-191.70158
JMSU-1,15.549625,91.041824,50.718613,-34.060303,74.40044,23.164812,-80.65643,-27.870111,50.336025,-66.08492,-55.337452,-20.962484,40.795742,57.95306,69.5754,-68.48527,-3.1435287,70.36022,-9.959519,-98.83295,59.66151,13.463905,-21.832117,-19.769466,-66.00573,-73.73842,-83.86642,53.782764,35.104176,39.498653,40.369114,-9.041464,0.0508643,-82.922806,-118.006386,-95.23661,-35.16044
SK-N-DZ,13.596149,40.84257,7.4450107,-138.80904,65.40516,-76.355385,-14.844733,47.953873,-50.89844,-92.09851,-44.737003,-37.01788,78.19112,-15.06497,-29.283241,-5.507307,-195.09229,9.588269,-70.7616,1.2415948,81.087204,0.11760699,-83.94066,-137.31737,36.061382,-87.38984,-126.16671,13.946135,35.688416,47.260128,144.48557,121.2466,65.136475,-40.601665,-63.407215,-164.38234,-95.00318
HT-29,-14.317225,107.99728,69.03621,-66.43025,86.90495,14.24394,-126.74949,-151.22386,132.60458,-133.29877,-160.4498,-77.469376,45.588898,127.84866,104.13118,-124.28711,-45.037514,73.24231,40.893463,-141.89272,56.028244,175.72562,-81.660034,-102.294174,-121.10112,-88.56353,-102.12474,158.31749,153.87866,104.62011,-18.691967,21.76245,59.80877,-99.709274,-62.648346,-39.32168,-29.474747
KYSE-30,-13.812793,97.487686,134.77748,-55.522873,28.321323,2.8023603,-108.285736,-173.59027,149.71112,-90.68743,-252.75949,-47.248013,-1.9070652,122.8331,123.33769,-96.92634,29.327295,56.077656,109.07467,-184.52122,1.2425903,162.40639,-69.80017,-70.22302,-152.35887,-77.774284,-103.8805,170.75949,133.15901,110.02478,-28.382292,-58.380962,4.559009,-81.56354,-65.30857,2.6555257,23.099422
OAW28,-1.2488496,55.488297,45.856937,-44.16542,13.18548,-9.52137,-48.94157,-85.03239,54.35987,-64.58576,-123.49362,-33.70899,18.293116,52.769436,49.10567,-27.711811,-7.527039,44.633923,32.554245,-81.56682,1.5453987,80.127075,-43.457924,-46.820084,-54.549393,-44.657013,-65.041306,95.90401,45.972168,52.061104,5.916451,-10.43432,14.111647,-26.832191,-38.924076,-20.54717,-1.3552567
Calu-6,15.742216,62.18796,42.99422,-40.527565,64.530106,11.832794,-55.642532,0.9776148,23.420944,-56.65375,-24.007925,-17.55424,31.577194,31.585747,42.61905,-50.313957,-42.00517,39.091423,-18.08403,-65.89516,51.916515,0.10524957,-24.151442,-33.502728,-28.259289,-60.46221,-65.34063,19.749746,30.085938,25.004194,42.466755,14.114095,6.2649584,-68.199135,-76.26111,-88.99564,-44.191742
