,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36
MDA-MB-157,52.882748,118.222466,85.89113,-29.306982,98.90306,72.89697,-106.02715,-3.8593686,2.0059843,-115.84112,7.8551636,-41.5058,64.0321,69.506645,99.49643,-94.653015,13.117767,43.7344,-35.794,-135.28217,79.07555,1.645875,-46.50346,-40.08474,-63.59768,-111.42849,-112.63648,59.753513,2.598384,-15.905694,59.432465,-13.478126,6.554765,-113.03575,-154.88162,-136.83354,-84.91434
TO 175.T,160.41895,256.3749,237.3545,-33.984627,241.67943,231.09438,-278.28522,-11.1978855,12.118013,-229.29776,85.43799,-79.3054,117.92443,162.6155,251.5549,-230.54643,121.81187,45.90013,-73.08961,-302.05255,201.33058,21.695646,-100.007805,-65.85858,-189.00096,-254.46016,-236.01906,107.76962,55.06971,-25.032595,60.76973,-85.91275,6.6240387,-288.34094,-331.8449,-285.1232,-167.50385
CCF-STTG1,109.08316,196.4846,156.72267,-30.554567,175.55641,149.44357,-200.8619,-14.996833,-7.2252016,-168.52309,48.357903,-65.04609,99.28921,118.086365,179.69572,-157.66437,80.30815,44.47258,-52.253056,-214.97058,144.13411,7.573984,-71.50009,-47.316227,-129.80173,-185.16713,-185.9603,86.77473,13.872828,-9.288871,66.550156,-45.096,7.2294655,-208.92917,-249.48111,-215.23076,-130.2087
AGS,-8.858261,91.38305,64.4499,-43.855743,64.30711,11.980059,-106.71785,-131.63779,109.10047,-101.44338,-158.60712,-57.557743,28.453339,101.78347,89.847046,-94.67336,-9.678735,74.55733,48.06777,-126.82148,39.822548,138.34225,-56.66124,-79.91505,-104.49377,-71.866356,-91.12921,144.0249,120.15803,94.13933,-13.443497,-1.0823879,33.801636,-80.522514,-63.206272,-30.84027,-9.006947
Hs 294T,38.50401,170.3599,120.471375,-25.618134,107.07115,81.85147,-135.48442,-12.657723,-9.062204,-108.86243,-2.6248882,-49.708427,80.53956,78.92639,117.6743,-133.21619,15.605545,70.08202,-69.994865,-173.1335,83.714554,-7.7627172,-25.032082,-25.204071,-88.57708,-104.841736,-135.57191,67.453705,6.331781,-39.538776,66.68778,-19.711926,-14.560581,-128.55905,-164.95006,-138.53636,-94.755226
CAL-54,-3.7924397,111.97837,62.43601,-16.06397,52.66571,58.479267,-93.30911,-81.79447,70.251,-72.734505,-131.25664,-26.624912,51.070232,79.5488,93.410324,-69.213455,81.29064,71.21153,44.65216,-139.32796,18.759304,37.371628,-26.965738,-11.492837,-92.19653,-66.89779,-113.40629,122.93993,9.330253,61.27702,24.061184,-46.5248,-14.228211,-64.87805,-117.855415,-69.72358,14.069804
SLR25,23.44729,113.530556,93.793686,-15.592077,86.46434,73.20702,-118.33171,-69.32398,75.625175,-84.37003,-80.70772,-22.684116,34.09676,95.785164,102.8055,-110.17194,49.084515,65.23971,1.6526729,-154.62761,59.57957,44.185055,-19.776543,-28.488096,-102.62615,-85.95936,-101.28042,94.28696,62.78913,52.343967,9.391767,-43.701973,-7.888223,-115.052216,-129.25943,-88.05159,-20.655241
KP-N-YN,18.324219,46.780582,19.197859,-151.96747,66.76174,-77.885994,-19.808603,47.87947,-61.631447,-96.18903,-55.22537,-34.723812,85.55944,-19.31666,-27.003393,2.3082852,-195.0344,-0.4921916,-71.99243,1.5671948,88.71478,-3.8394701,-90.07296,-145.23163,30.011192,-91.92759,-142.66638,18.648556,30.45251,56.92309,159.45734,115.65072,64.1593,-41.27307,-74.49447,-186.39932,-96.13643
ONS-76,8.963977,88.24556,85.43321,-23.479858,58.70144,32.922028,-87.85666,-56.504456,57.58342,-67.157555,-82.541016,-23.926203,20.037994,80.13035,89.85855,-79.58998,24.05855,50.16887,1.5954992,-128.62215,33.79704,43.341858,-19.833447,-31.70563,-76.23169,-72.69223,-84.28148,81.8842,46.447983,30.65773,12.382039,-36.000164,-8.877271,-94.041466,-98.473305,-61.732433,-18.7415
KMBC-2,-24.391933,92.26905,114.46429,-70.632355,20.300737,-23.74587,-98.35181,-173.92358,134.90897,-88.24092,-263.93045,-55.39345,6.0979824,105.95128,113.204704,-87.40004,19.007246,63.36888,102.85176,-169.97137,0.50099695,160.27211,-74.04597,-81.019226,-142.2485,-68.79263,-101.09817,177.6064,128.33804,114.41713,-7.684061,-42.13004,14.037886,-67.90306,-54.965164,2.0125976,23.29931
