feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1BG-AS1,,,,0.08331584636763799,False
A1CF,0.0,0.7507956694974248,True,-0.0018517002239343042,True
A2M,0.0,2.4705045816430578,True,0.040247957023487616,False
A2M-AS1,,,,0.09147436085900691,False
A2ML1,,,,0.09279124063324956,False
A4GALT,0.0,0.11285058754178492,True,0.06522639902624572,False
A4GNT,0.0,0.027380002006847953,True,0.11123826440170859,False
AAAS,0.0,0.2568226031216448,True,0.08599147252661088,False
AACS,0.0,0.6493180914498895,True,0.06632299786862476,False
AACSP1,,,,0.1104703533378632,False
AADAC,0.0,0.5009152319981586,True,0.05385688657940225,False
AADACL2,,,,0.1540784380499508,False
AADACP1,,,,0.06602578132088807,False
AADAT,,,,0.0665615642392045,False
AAGAB,0.0,0.14581537996735777,True,0.09518049423150318,False
AAK1,0.0,0.05012612279752732,True,0.0772630964251333,False
AAMDC,0.0,0.3765882636005902,True,0.0810144377290786,False
AAMP,0.0,0.25182138692296413,True,0.08950015498445506,False
AANAT,0.0,0.05457020650915999,True,0.06730821179691678,False
AAR2,0.0,0.2450439815987984,True,0.1033913764741932,False
AARS1,0.0,0.6422566951265695,True,0.0787819682949008,False
AARS2,,,,0.06720322824419711,False
AASDH,,,,0.10729475744252434,False
AASDHPPT,0.0,0.45533915383442536,True,0.07278611791579345,False
AASS,0.0,0.3774777603735969,True,0.05996551676980278,False
AATBC,,,,0.08944167220818722,False
AATF,0.0,0.299535981033834,True,0.06629295415019924,False
AATK,0.0,0.1796825020482131,True,0.0739447245255677,False
ABAT,0.0,1.1286420660554057,True,0.06400168922965066,False
ABCA1,0.0,1.4962653159124981,True,0.06752999876912227,False
ABCA11P,0.0,0.24745351030917917,True,0.10359785611140623,False
ABCA12,0.0,0.3116672963878397,True,0.05683396087018801,False
ABCA13,,,,0.06860116626852168,False
ABCA17P,,,,0.10910618217360012,False
ABCA2,0.0,0.11745013343474875,True,0.0731857461239863,False
ABCA3,0.0,1.0818125046584748,True,0.02881062998535014,False
ABCA4,0.0,0.277260503765033,True,0.07833651416710652,False
ABCA5,0.0,0.7663931491758981,True,0.057564979532385915,False
ABCA6,0.0,0.08148724568939503,True,0.051547458066023316,False
ABCA7,0.0,0.2861632690045332,True,0.053660352664253064,False
ABCA8,0.0,0.8600155422709612,True,0.07467172560333314,False
ABCA9,,,,0.058218903137272314,False
