method,var,variable_type,metric,value
DirectPred,Erlotinib,numerical,mse,0.005782661959528923
DirectPred,Erlotinib,numerical,r2,0.17572261692811283
DirectPred,Erlotinib,numerical,pearson_corr,0.41919281593094226
