,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84
KM-H2,0.33574325,0.1413334,0.30516,0.25822586,-0.0029173526,-0.33921203,-0.22627057,-0.3116588,-0.48826176,-0.33670065,-0.00053417194,-0.19011301,0.09095596,-0.4398193,-0.14170572,-0.066376835,-0.5250851,-0.21934101,0.14651619,-0.02391374,0.78560734,-0.11129103,-0.12090485,0.25837034,0.32835305,-0.69019234,-0.22555427,-0.3094965,0.15509523,-0.049325336,0.19816494,0.12980871,-0.26010686,-0.1176351,-0.2791752,0.6314894,-0.24033953,0.050438363,-0.2604016,-0.15653348,-0.07034806,0.67529726,-0.21165815,0.6057397,0.02344005,-0.40912887,0.3146627,-0.2906309,-0.317492,0.28909364,-0.56984526,-0.46378145,-0.13202213,-0.070948444,-0.18968435,0.07624384,0.24813306,-0.3718181,-0.37610176,0.11469859,0.067688294,-0.0313627,0.8762279,-0.2625409,0.10031492,0.41413513,0.60385644,-0.2410019,0.21270537,0.07589262,0.46040148,-0.4007638,-0.014202628,-0.31271282,0.27071586,0.022938183,0.16091739,0.5403119,0.51907176,0.3094832,-0.06527341,0.057802435,0.572489,0.2056025,0.20491152
HCT 15,0.508698,-0.022741009,-0.809356,-0.3108309,-0.71617115,-0.20806222,-0.9124215,0.07298674,0.14492086,0.2636347,-0.64369804,0.24418186,0.5512863,0.13731189,1.0347527,0.082092434,-0.36676574,-0.7942322,0.032951243,0.050367247,0.12891346,-0.08865676,0.16688772,-0.11928745,0.5629855,0.045139555,-0.45766357,-0.062752664,0.23035808,0.046417966,-0.7193416,-0.3173312,0.4581545,0.45365342,0.31714004,0.07595284,1.1362685,0.40175554,-0.2529098,-0.73422855,-0.30932996,0.27052274,0.21957953,-0.31700137,-0.6636268,0.4419233,-0.5729751,0.45482153,0.5285964,0.46408328,0.13449457,0.0938238,-0.45912942,-0.6677929,-0.036910787,-0.42846316,0.2094552,0.2923891,-0.05947094,0.84986544,-0.114342175,0.2683293,0.098181725,-0.21600552,-0.37397596,0.12933129,-0.87563026,0.78402853,0.37151185,-0.5104493,-0.8164293,-0.22741948,-0.4691174,0.17457345,-0.8929229,0.79495806,0.47974342,-0.26615217,0.18045591,0.34844762,-0.47750807,-0.041925453,-0.92367226,-0.1695762,-0.12882131
SNU-620,0.33574325,0.1413334,0.30516,0.25822586,-0.0029173526,-0.33921203,-0.22627057,-0.3116588,-0.48826176,-0.33670065,-0.00053417194,-0.19011301,0.09095596,-0.4398193,-0.14170572,-0.066376835,-0.5250851,-0.21934101,0.14651619,-0.02391374,0.78560734,-0.11129103,-0.12090485,0.25837034,0.32835305,-0.69019234,-0.22555427,-0.3094965,0.15509523,-0.049325336,0.19816494,0.12980871,-0.26010686,-0.1176351,-0.2791752,0.6314894,-0.24033953,0.050438363,-0.2604016,-0.15653348,-0.07034806,0.67529726,-0.21165815,0.6057397,0.02344005,-0.40912887,0.3146627,-0.2906309,-0.317492,0.28909364,-0.56984526,-0.46378145,-0.13202213,-0.070948444,-0.18968435,0.07624384,0.24813306,-0.3718181,-0.37610176,0.11469859,0.067688294,-0.0313627,0.8762279,-0.2625409,0.10031492,0.41413513,0.60385644,-0.2410019,0.21270537,0.07589262,0.46040148,-0.4007638,-0.014202628,-0.31271282,0.27071586,0.022938183,0.16091739,0.5403119,0.51907176,0.3094832,-0.06527341,0.057802435,0.572489,0.2056025,0.20491152
COLO 677,0.3370279,0.11436234,0.19254865,-0.14717962,0.3258254,-0.2629724,-0.34422868,-0.07927474,-0.41032043,-0.15482841,0.035505038,-0.1647874,0.10063722,-0.34061095,-0.011905422,-0.21114396,-0.2724525,-0.41408506,0.14527181,-0.18620788,0.60458684,-0.008899878,0.068532184,0.26056752,-0.18504046,-0.31375605,0.19385017,-0.008807721,0.3168111,-0.26434666,-0.07432799,0.018077366,-0.13628338,0.17684056,-0.16900188,0.28378692,0.06966519,0.09781459,-0.14082727,0.14754136,0.09143222,0.2933378,-0.14586827,0.19101746,0.08923273,0.27353463,0.4866036,0.018843949,-0.45257553,-0.017198423,-0.14483371,-0.16122638,-0.25333747,0.16418205,0.08649223,0.1672381,0.23200715,0.0033497731,-0.055740748,0.045102317,0.06594256,-0.016040992,0.5229451,0.011554619,0.0033699519,0.28791398,0.111812375,-0.047953684,0.03597962,-0.10620866,0.15277772,-0.5249205,0.16078629,0.058969066,0.17249434,-0.23833434,0.112388425,0.14949591,-0.012394301,0.4534426,0.16089611,0.44908452,0.29065424,0.022740848,-0.14486732
HL-60,0.33574325,0.1413334,0.30516,0.25822586,-0.0029173526,-0.33921203,-0.22627057,-0.3116588,-0.48826176,-0.33670065,-0.00053417194,-0.19011301,0.09095596,-0.4398193,-0.14170572,-0.066376835,-0.5250851,-0.21934101,0.14651619,-0.02391374,0.78560734,-0.11129103,-0.12090485,0.25837034,0.32835305,-0.69019234,-0.22555427,-0.3094965,0.15509523,-0.049325336,0.19816494,0.12980871,-0.26010686,-0.1176351,-0.2791752,0.6314894,-0.24033953,0.050438363,-0.2604016,-0.15653348,-0.07034806,0.67529726,-0.21165815,0.6057397,0.02344005,-0.40912887,0.3146627,-0.2906309,-0.317492,0.28909364,-0.56984526,-0.46378145,-0.13202213,-0.070948444,-0.18968435,0.07624384,0.24813306,-0.3718181,-0.37610176,0.11469859,0.067688294,-0.0313627,0.8762279,-0.2625409,0.10031492,0.41413513,0.60385644,-0.2410019,0.21270537,0.07589262,0.46040148,-0.4007638,-0.014202628,-0.31271282,0.27071586,0.022938183,0.16091739,0.5403119,0.51907176,0.3094832,-0.06527341,0.057802435,0.572489,0.2056025,0.20491152
Hs 698.T,0.33574325,0.1413334,0.30516,0.25822586,-0.0029173526,-0.33921203,-0.22627057,-0.3116588,-0.48826176,-0.33670065,-0.00053417194,-0.19011301,0.09095596,-0.4398193,-0.14170572,-0.066376835,-0.5250851,-0.21934101,0.14651619,-0.02391374,0.78560734,-0.11129103,-0.12090485,0.25837034,0.32835305,-0.69019234,-0.22555427,-0.3094965,0.15509523,-0.049325336,0.19816494,0.12980871,-0.26010686,-0.1176351,-0.2791752,0.6314894,-0.24033953,0.050438363,-0.2604016,-0.15653348,-0.07034806,0.67529726,-0.21165815,0.6057397,0.02344005,-0.40912887,0.3146627,-0.2906309,-0.317492,0.28909364,-0.56984526,-0.46378145,-0.13202213,-0.070948444,-0.18968435,0.07624384,0.24813306,-0.3718181,-0.37610176,0.11469859,0.067688294,-0.0313627,0.8762279,-0.2625409,0.10031492,0.41413513,0.60385644,-0.2410019,0.21270537,0.07589262,0.46040148,-0.4007638,-0.014202628,-0.31271282,0.27071586,0.022938183,0.16091739,0.5403119,0.51907176,0.3094832,-0.06527341,0.057802435,0.572489,0.2056025,0.20491152
NCI-H1694,0.3370279,0.11436234,0.19254865,-0.14717962,0.3258254,-0.2629724,-0.34422868,-0.07927474,-0.41032043,-0.15482841,0.035505038,-0.1647874,0.10063722,-0.34061095,-0.011905422,-0.21114396,-0.2724525,-0.41408506,0.14527181,-0.18620788,0.60458684,-0.008899878,0.068532184,0.26056752,-0.18504046,-0.31375605,0.19385017,-0.008807721,0.3168111,-0.26434666,-0.07432799,0.018077366,-0.13628338,0.17684056,-0.16900188,0.28378692,0.06966519,0.09781459,-0.14082727,0.14754136,0.09143222,0.2933378,-0.14586827,0.19101746,0.08923273,0.27353463,0.4866036,0.018843949,-0.45257553,-0.017198423,-0.14483371,-0.16122638,-0.25333747,0.16418205,0.08649223,0.1672381,0.23200715,0.0033497731,-0.055740748,0.045102317,0.06594256,-0.016040992,0.5229451,0.011554619,0.0033699519,0.28791398,0.111812375,-0.047953684,0.03597962,-0.10620866,0.15277772,-0.5249205,0.16078629,0.058969066,0.17249434,-0.23833434,0.112388425,0.14949591,-0.012394301,0.4534426,0.16089611,0.44908452,0.29065424,0.022740848,-0.14486732
SET-2,0.3370279,0.11436234,0.19254865,-0.14717962,0.3258254,-0.2629724,-0.34422868,-0.07927474,-0.41032043,-0.15482841,0.035505038,-0.1647874,0.10063722,-0.34061095,-0.011905422,-0.21114396,-0.2724525,-0.41408506,0.14527181,-0.18620788,0.60458684,-0.008899878,0.068532184,0.26056752,-0.18504046,-0.31375605,0.19385017,-0.008807721,0.3168111,-0.26434666,-0.07432799,0.018077366,-0.13628338,0.17684056,-0.16900188,0.28378692,0.06966519,0.09781459,-0.14082727,0.14754136,0.09143222,0.2933378,-0.14586827,0.19101746,0.08923273,0.27353463,0.4866036,0.018843949,-0.45257553,-0.017198423,-0.14483371,-0.16122638,-0.25333747,0.16418205,0.08649223,0.1672381,0.23200715,0.0033497731,-0.055740748,0.045102317,0.06594256,-0.016040992,0.5229451,0.011554619,0.0033699519,0.28791398,0.111812375,-0.047953684,0.03597962,-0.10620866,0.15277772,-0.5249205,0.16078629,0.058969066,0.17249434,-0.23833434,0.112388425,0.14949591,-0.012394301,0.4534426,0.16089611,0.44908452,0.29065424,0.022740848,-0.14486732
SK-N-MC,0.33574325,0.1413334,0.30516,0.25822586,-0.0029173526,-0.33921203,-0.22627057,-0.3116588,-0.48826176,-0.33670065,-0.00053417194,-0.19011301,0.09095596,-0.4398193,-0.14170572,-0.066376835,-0.5250851,-0.21934101,0.14651619,-0.02391374,0.78560734,-0.11129103,-0.12090485,0.25837034,0.32835305,-0.69019234,-0.22555427,-0.3094965,0.15509523,-0.049325336,0.19816494,0.12980871,-0.26010686,-0.1176351,-0.2791752,0.6314894,-0.24033953,0.050438363,-0.2604016,-0.15653348,-0.07034806,0.67529726,-0.21165815,0.6057397,0.02344005,-0.40912887,0.3146627,-0.2906309,-0.317492,0.28909364,-0.56984526,-0.46378145,-0.13202213,-0.070948444,-0.18968435,0.07624384,0.24813306,-0.3718181,-0.37610176,0.11469859,0.067688294,-0.0313627,0.8762279,-0.2625409,0.10031492,0.41413513,0.60385644,-0.2410019,0.21270537,0.07589262,0.46040148,-0.4007638,-0.014202628,-0.31271282,0.27071586,0.022938183,0.16091739,0.5403119,0.51907176,0.3094832,-0.06527341,0.057802435,0.572489,0.2056025,0.20491152
SK-MES-1,0.3370279,0.11436234,0.19254865,-0.14717962,0.3258254,-0.2629724,-0.34422868,-0.07927474,-0.41032043,-0.15482841,0.035505038,-0.1647874,0.10063722,-0.34061095,-0.011905422,-0.21114396,-0.2724525,-0.41408506,0.14527181,-0.18620788,0.60458684,-0.008899878,0.068532184,0.26056752,-0.18504046,-0.31375605,0.19385017,-0.008807721,0.3168111,-0.26434666,-0.07432799,0.018077366,-0.13628338,0.17684056,-0.16900188,0.28378692,0.06966519,0.09781459,-0.14082727,0.14754136,0.09143222,0.2933378,-0.14586827,0.19101746,0.08923273,0.27353463,0.4866036,0.018843949,-0.45257553,-0.017198423,-0.14483371,-0.16122638,-0.25333747,0.16418205,0.08649223,0.1672381,0.23200715,0.0033497731,-0.055740748,0.045102317,0.06594256,-0.016040992,0.5229451,0.011554619,0.0033699519,0.28791398,0.111812375,-0.047953684,0.03597962,-0.10620866,0.15277772,-0.5249205,0.16078629,0.058969066,0.17249434,-0.23833434,0.112388425,0.14949591,-0.012394301,0.4534426,0.16089611,0.44908452,0.29065424,0.022740848,-0.14486732
