,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84
YH-13,0.81308985,-0.07422688,-0.086599134,0.36187047,-0.33037233,0.06712059,-0.578236,-0.25494227,-0.085129015,-0.32541233,0.22489859,0.058394063,0.009249534,-0.71996474,0.07132241,0.3736447,-0.44034913,-0.58017564,0.2056963,-0.4610187,1.0840545,0.014108091,-0.318639,0.118572734,0.2351195,-1.0702739,-0.20416531,-0.45972225,0.48948476,-0.2013573,0.03860709,0.25759447,0.12587933,-0.087792106,0.20014659,0.9960805,0.063320704,0.1378863,-0.18590295,-0.51261103,-0.19021603,0.59858835,-0.019271318,0.34065163,-0.17605291,-0.6420109,-0.20586264,-0.025373364,-0.31604216,0.44414067,-0.38080966,-0.48056155,-0.20647147,-0.23388033,-0.00090635725,0.059488997,0.6304101,-0.65238583,-0.77573115,0.6006943,-0.28096405,-0.48891073,0.3780269,-0.68907577,-0.16136612,0.37070686,0.5180327,-0.075579844,0.49143827,-0.34384558,0.20413949,-0.5267868,-0.3024186,-0.64763814,-0.002321864,0.36148795,0.45642886,0.56065536,0.22104035,0.5710192,0.30267662,-0.11809431,0.38459447,0.51319957,0.40781447
SNU-119,0.37374237,0.09549562,0.16870113,-0.13882208,0.31656107,-0.22591628,-0.3463503,-0.07645522,-0.34204572,-0.15649357,0.07004425,-0.18633805,0.09311958,-0.29182112,0.00902823,-0.22540529,-0.2906813,-0.41097438,0.17154513,-0.19987355,0.5919226,-0.019714886,0.09185046,0.26377916,-0.19260454,-0.31169656,0.15252234,-0.010984944,0.31467125,-0.27481946,-0.09558546,-0.01774174,-0.10145718,0.20370816,-0.21761765,0.2673889,0.05136488,0.14216448,-0.15877075,0.15179211,0.11831142,0.28367874,-0.15359697,0.2540603,0.06166552,0.24369386,0.47981346,0.0005219797,-0.4449283,-0.030133171,-0.15662318,-0.19257161,-0.25168872,0.1287026,0.04354633,0.1440318,0.27338493,0.01630339,-0.025108643,-0.014467352,0.09573016,-0.01896539,0.54051507,0.009316614,0.05971178,0.2887707,0.14838216,-0.0339279,-0.01710014,-0.10853433,0.16197284,-0.552238,0.14972484,0.031001769,0.17624274,-0.20879465,0.11054716,0.13136989,-0.011764354,0.44048977,0.15748653,0.4841934,0.25514174,0.023266174,-0.1917797
DM-3,0.2944926,0.1413014,0.17067657,0.20533732,0.021555956,-0.3049609,-0.12813383,-0.2426252,-0.5445023,-0.41858304,0.03447791,-0.25161472,0.038231935,-0.41996792,-0.071109675,-0.02955904,-0.48844427,-0.18731488,0.13344951,-0.08298704,0.7157133,-0.12830526,-0.07665478,0.24139114,0.36444965,-0.64332527,-0.15354818,-0.35562396,0.10208331,-0.0043105655,0.15428333,0.24498133,-0.2565868,-0.15787135,-0.26964292,0.5907097,-0.18148424,-0.088925675,-0.21710622,-0.20969988,-0.11214061,0.59688693,-0.23933783,0.55639565,-0.037112482,-0.4034866,0.287288,-0.27925354,-0.30239737,0.33665895,-0.54780126,-0.41811463,-0.12483903,-0.09385944,-0.24420391,-0.014854162,0.29032117,-0.33693445,-0.3787827,0.09325075,0.1187393,-0.09062893,0.7971964,-0.21955058,0.02711072,0.3484941,0.55484396,-0.14866798,0.17272319,0.06847937,0.36974663,-0.33892316,0.0058219694,-0.2110394,0.25286335,-0.004035411,0.17282279,0.54837924,0.49291536,0.3607904,-0.06502517,-0.017875792,0.5360522,0.26961237,0.20765333
KYSE-410,-0.03536987,0.5369394,-0.15393592,-0.5476773,-0.050650798,-0.28783324,-0.36300445,-0.20063658,-0.6032241,0.10434729,-0.60945576,-0.08734538,0.33725202,-0.067642026,0.35765916,-0.10614474,-0.015227888,-0.41438746,0.07620202,0.2453474,0.30691615,-0.5807058,-0.1600399,0.22851993,0.22957988,0.31280333,0.06042611,-0.24957773,0.016209066,0.05973308,-0.35644004,0.048837654,0.18963583,0.1326395,-0.48218083,-0.22016443,0.6054854,-0.0718777,-0.24393524,-0.29083294,0.18979897,0.5220213,0.011020886,-0.3022942,-0.3987499,0.3785082,0.21048416,-0.17504752,0.13816404,0.07783925,-0.20051564,0.48219964,-0.49011207,-0.28515336,-0.16342494,-0.2218165,-0.11533813,0.41485825,0.07795001,0.21393435,0.068319194,0.42200288,0.48985806,-0.030761922,0.037191298,0.17817266,-0.40407273,0.48980173,0.4577931,-0.37857515,-0.2893882,-0.27063,-0.2339577,0.34652096,-0.3145511,0.087186135,0.4086456,-0.023098737,0.26431063,0.26338825,-0.44110647,0.28593445,-0.113573864,-0.1342945,-0.046502538
BL-70,0.39464313,0.1795365,0.20389083,-0.14069201,0.26121846,-0.21425934,-0.32632947,0.03552643,-0.31668255,-0.044806678,0.08092999,-0.08277299,0.042237677,-0.30945662,-0.0063889907,-0.15981689,-0.14319667,-0.32526675,0.14934424,-0.29351765,0.6396726,0.0759391,0.11971937,0.24005668,-0.1495213,-0.29443294,0.14269644,0.09664697,0.31485978,-0.2566458,0.005950358,0.04035616,-0.1573256,0.16013671,-0.15215896,0.2880427,0.06049711,0.15651827,-0.09610135,0.05824008,0.014213547,0.24712728,-0.103954375,0.091122404,0.13814937,0.22936429,0.37914735,0.08227275,-0.33954668,0.0044790795,-0.059036914,-0.2599599,-0.22362098,0.069988,0.14645423,0.19301033,0.30578637,0.041301724,-0.017402982,0.08148939,0.07981713,0.009680862,0.43438485,-0.090599984,0.0067610224,0.25753304,0.10758907,-0.059624236,0.010442682,-0.08158408,0.10779669,-0.39416796,0.088255085,0.12650625,0.14266038,-0.29398823,0.1285666,0.10150105,-0.060145255,0.42481503,0.17603108,0.44290802,0.24898782,-0.00041055045,-0.14172295
QGP-1,0.009144897,0.5713345,-0.031196294,-0.13222086,-0.40371892,-0.37793985,-0.23642705,-0.48912796,-0.6274133,-0.06713936,-0.62312835,-0.114372104,0.31591532,-0.20565982,0.19352168,0.07835851,-0.26792464,-0.19847439,0.04498451,0.3726838,0.4901891,-0.6853405,-0.40758258,0.19932316,0.67158675,-0.043841157,-0.29854214,-0.5323667,-0.15820958,0.24968463,-0.11871161,0.13103777,0.060012262,-0.13904709,-0.5742039,0.13445343,0.31231156,-0.12732455,-0.3495088,-0.5648583,0.0019721654,0.94005954,-0.043174036,0.118042216,-0.414751,-0.24608317,0.09690914,-0.45782453,0.30239543,0.41057226,-0.6568511,0.23350574,-0.3339454,-0.53527266,-0.43091756,-0.2405962,-0.081521735,0.039146505,-0.27621222,0.31918463,0.04061306,0.38014933,0.91725105,-0.25384402,0.110967435,0.33551693,0.10484008,0.27010953,0.66258603,-0.17693824,0.015605126,-0.14554769,-0.42009738,-0.036018424,-0.1735789,0.31776145,0.465335,0.3865368,0.8244526,0.17122504,-0.63912857,-0.12871176,0.23801638,0.025760647,0.28485903
SW1463,-0.028391395,0.5618513,-0.136595,-0.54177684,-0.110721834,-0.3060919,-0.36299115,-0.25019208,-0.55207217,0.107315615,-0.5996624,-0.019528173,0.3152075,-0.0760167,0.31439453,-0.046723507,-0.020273115,-0.42439002,0.066792004,0.19348426,0.34552076,-0.5577069,-0.2488314,0.15078497,0.1669228,0.34921134,0.1631095,-0.22854412,-0.018176695,0.044231944,-0.391982,0.01519443,0.23068349,0.1400029,-0.44616228,-0.22494374,0.5774283,-0.09213057,-0.23547287,-0.23469819,0.19908558,0.5356574,0.039064616,-0.287905,-0.3347493,0.48325607,0.29110965,-0.1011165,0.1473799,0.08953715,-0.23524344,0.57309175,-0.45414233,-0.3104145,-0.17902206,-0.15558447,-0.10520707,0.3860856,0.020777475,0.25626343,0.05601545,0.42558557,0.56541365,0.020947052,0.0036074615,0.19806875,-0.3821372,0.47890285,0.5040263,-0.38790435,-0.2739028,-0.27840474,-0.24786602,0.29857185,-0.25772247,0.06763488,0.422732,-0.018233187,0.28998405,0.2896128,-0.42014098,0.24028818,-0.09170137,-0.112351455,-0.06596251
A2780,0.827589,-0.5717456,-0.9717742,0.5989684,-1.3581067,0.16820559,-1.3328519,0.41418418,1.0708882,0.18780974,0.23405087,0.08894169,0.08816273,-0.27074116,1.0743097,1.5489657,-0.62191933,-0.695505,0.16551238,-0.19992685,0.6541644,0.8239944,0.23140578,-0.8353558,0.2811608,-0.7219018,-0.022356916,-0.8040288,1.2001879,-0.51184493,-0.016781764,0.025311222,0.7589352,0.12581955,1.0960417,1.200096,1.1038435,1.11094,-0.3557752,-0.6981296,-1.3458745,0.6588451,0.8968718,-0.501815,-1.1883141,-0.27282867,-2.0844634,0.9317812,-0.051682703,0.95997727,0.19306494,-0.19500902,0.17146614,-0.17429525,0.5824487,-0.41782013,0.9022466,-0.9639297,-1.0395774,0.9354478,-0.6860985,-0.94845754,-0.7178873,-1.0592299,-1.3477654,0.5183456,-0.5206317,0.3212797,-0.12637064,-0.28823307,-0.88019013,-1.2613561,-0.39279407,-0.59022295,-0.71301067,1.4954187,-0.11198812,-0.019796034,-0.40332827,0.7522015,0.18222898,-0.49103186,-0.79734564,-0.09947494,-0.028173631
TE-14,0.34974253,0.12916005,0.13846627,-0.18699972,0.32827634,-0.24502575,-0.2972408,-0.05413619,-0.402075,-0.19159386,0.060468238,-0.19022599,0.11657818,-0.36710626,0.0028670786,-0.24188532,-0.28507444,-0.3756349,0.16596794,-0.20817508,0.5934947,-0.04792043,0.113599226,0.24104367,-0.17661302,-0.2929371,0.19269863,-0.047820855,0.2868938,-0.23541237,-0.06805573,0.050518945,-0.12980683,0.1736355,-0.16299208,0.24754953,0.085622944,0.029395033,-0.17508253,0.11172885,0.13066968,0.26231658,-0.14232308,0.19464873,0.06345278,0.30434737,0.4442093,0.028837562,-0.47583163,0.0061043496,-0.12263499,-0.14772625,-0.2729161,0.16480164,0.06495544,0.14355397,0.246218,0.043845803,-0.08229201,0.06394486,0.04403087,-0.056854963,0.52867734,0.042012732,-0.011579433,0.31172425,0.08744849,-0.032756425,0.07950381,-0.12919882,0.08200535,-0.48453364,0.18082638,0.10734296,0.17442372,-0.24384807,0.11307869,0.15522252,-0.002991751,0.44799933,0.16106935,0.45757863,0.26771238,0.040200174,-0.12301128
TE 159.T,0.33574325,0.1413334,0.30516,0.25822586,-0.0029173526,-0.33921203,-0.22627057,-0.3116588,-0.48826176,-0.33670065,-0.00053417194,-0.19011301,0.09095596,-0.4398193,-0.14170572,-0.066376835,-0.5250851,-0.21934101,0.14651619,-0.02391374,0.78560734,-0.11129103,-0.12090485,0.25837034,0.32835305,-0.69019234,-0.22555427,-0.3094965,0.15509523,-0.049325336,0.19816494,0.12980871,-0.26010686,-0.1176351,-0.2791752,0.6314894,-0.24033953,0.050438363,-0.2604016,-0.15653348,-0.07034806,0.67529726,-0.21165815,0.6057397,0.02344005,-0.40912887,0.3146627,-0.2906309,-0.317492,0.28909364,-0.56984526,-0.46378145,-0.13202213,-0.070948444,-0.18968435,0.07624384,0.24813306,-0.3718181,-0.37610176,0.11469859,0.067688294,-0.0313627,0.8762279,-0.2625409,0.10031492,0.41413513,0.60385644,-0.2410019,0.21270537,0.07589262,0.46040148,-0.4007638,-0.014202628,-0.31271282,0.27071586,0.022938183,0.16091739,0.5403119,0.51907176,0.3094832,-0.06527341,0.057802435,0.572489,0.2056025,0.20491152
EFM-19,0.8143745,-0.101197965,-0.19921048,-0.043535043,-0.0016295768,0.14336017,-0.6961941,-0.022558173,-0.0071876887,-0.14354007,0.2609378,0.083719656,0.018930819,-0.62075645,0.20112278,0.2288776,-0.1877166,-0.7749196,0.20445192,-0.62331283,0.90303403,0.116499245,-0.12920198,0.12076991,-0.27827403,-0.6938376,0.21523917,-0.1590335,0.65120053,-0.41637868,-0.23388581,0.1458631,0.2497028,0.20668358,0.31031987,0.64837795,0.3733254,0.18526252,-0.066328615,-0.20853621,-0.028435748,0.21662903,0.04651859,-0.07407067,-0.11026023,0.0406525,-0.03392175,0.28410152,-0.45112574,0.13784862,0.04420189,-0.17800644,-0.32778683,0.0012501333,0.27527025,0.15048324,0.61428416,-0.27721798,-0.45537013,0.531098,-0.28270978,-0.47358903,0.024744006,-0.41498014,-0.25831106,0.24448568,0.025988666,0.11746839,0.31471255,-0.5259469,-0.103484266,-0.6509435,-0.12742966,-0.2759563,-0.100543424,0.10021548,0.4078999,0.16983934,-0.3104257,0.7149786,0.52884614,0.27318776,0.10275977,0.330338,0.05803561
HCC1395,0.34974253,0.12916005,0.13846627,-0.18699972,0.32827634,-0.24502575,-0.2972408,-0.05413619,-0.402075,-0.19159386,0.060468238,-0.19022599,0.11657818,-0.36710626,0.0028670786,-0.24188532,-0.28507444,-0.3756349,0.16596794,-0.20817508,0.5934947,-0.04792043,0.113599226,0.24104367,-0.17661302,-0.2929371,0.19269863,-0.047820855,0.2868938,-0.23541237,-0.06805573,0.050518945,-0.12980683,0.1736355,-0.16299208,0.24754953,0.085622944,0.029395033,-0.17508253,0.11172885,0.13066968,0.26231658,-0.14232308,0.19464873,0.06345278,0.30434737,0.4442093,0.028837562,-0.47583163,0.0061043496,-0.12263499,-0.14772625,-0.2729161,0.16480164,0.06495544,0.14355397,0.246218,0.043845803,-0.08229201,0.06394486,0.04403087,-0.056854963,0.52867734,0.042012732,-0.011579433,0.31172425,0.08744849,-0.032756425,0.07950381,-0.12919882,0.08200535,-0.48453364,0.18082638,0.10734296,0.17442372,-0.24384807,0.11307869,0.15522252,-0.002991751,0.44799933,0.16106935,0.45757863,0.26771238,0.040200174,-0.12301128
HT-1197,0.81308985,-0.07422688,-0.086599134,0.36187047,-0.33037233,0.06712059,-0.578236,-0.25494227,-0.085129015,-0.32541233,0.22489859,0.058394063,0.009249534,-0.71996474,0.07132241,0.3736447,-0.44034913,-0.58017564,0.2056963,-0.4610187,1.0840545,0.014108091,-0.318639,0.118572734,0.2351195,-1.0702739,-0.20416531,-0.45972225,0.48948476,-0.2013573,0.03860709,0.25759447,0.12587933,-0.087792106,0.20014659,0.9960805,0.063320704,0.1378863,-0.18590295,-0.51261103,-0.19021603,0.59858835,-0.019271318,0.34065163,-0.17605291,-0.6420109,-0.20586264,-0.025373364,-0.31604216,0.44414067,-0.38080966,-0.48056155,-0.20647147,-0.23388033,-0.00090635725,0.059488997,0.6304101,-0.65238583,-0.77573115,0.6006943,-0.28096405,-0.48891073,0.3780269,-0.68907577,-0.16136612,0.37070686,0.5180327,-0.075579844,0.49143827,-0.34384558,0.20413949,-0.5267868,-0.3024186,-0.64763814,-0.002321864,0.36148795,0.45642886,0.56065536,0.22104035,0.5710192,0.30267662,-0.11809431,0.38459447,0.51319957,0.40781447
UM-UC-3,0.06450046,0.58045626,0.05355545,-0.13368466,-0.43813166,-0.40570718,-0.27745944,-0.52453375,-0.5554356,-0.0347257,-0.6348928,-0.041571938,0.38530308,-0.2515628,0.14985931,0.0009614019,-0.33075765,-0.21577376,0.07481022,0.40987033,0.57593745,-0.6983229,-0.4013473,0.16982733,0.66255957,-0.06346548,-0.35233188,-0.52302545,-0.12757686,0.23105225,-0.07575738,0.0680573,0.093970984,-0.11887735,-0.5857472,0.13671781,0.26882324,-0.04937748,-0.42462447,-0.5388992,0.07923561,0.9800273,-0.010154443,0.16256882,-0.3693132,-0.1993005,0.09601565,-0.4479998,0.2507095,0.36280546,-0.670949,0.20189984,-0.3750997,-0.51027006,-0.39632162,-0.18132934,-0.11355299,0.033209324,-0.31013647,0.37106484,-0.03463486,0.41315112,1.0259918,-0.26593482,0.14071237,0.4197401,0.13384631,0.20736857,0.7477469,-0.21271083,0.030669875,-0.19612959,-0.41820976,-0.09554042,-0.16239287,0.33995527,0.46745092,0.38441893,0.8589822,0.1351799,-0.6457854,-0.027336536,0.24360187,-0.003299288,0.31226805
EFE-184,0.30325395,0.14063688,0.16441058,-0.12499557,0.34714746,-0.24692087,-0.36065912,-0.100875944,-0.44759193,-0.15563047,0.04882003,-0.14764592,0.1201139,-0.32108217,0.04202142,-0.21635774,-0.24434577,-0.46128002,0.16224024,-0.14962575,0.58227026,-0.0005370031,0.07180092,0.25453445,-0.20219038,-0.28755477,0.15623342,-0.008358771,0.29257697,-0.27995956,-0.05109221,0.0069259848,-0.13292262,0.13093875,-0.13949184,0.3136801,0.02248285,0.10408342,-0.1117671,0.15212865,0.12430582,0.27705258,-0.15981919,0.1714751,0.06610944,0.3143071,0.50491506,0.069570534,-0.4415134,-0.023711557,-0.13096668,-0.1874126,-0.2894309,0.19124028,0.07424296,0.16391592,0.24136898,-0.02247219,-0.06013701,0.08676862,0.041992787,-0.034585577,0.5457338,-0.026432524,0.008377852,0.24929489,0.064958125,-0.05945319,0.01144316,-0.086717315,0.10940882,-0.48704267,0.13528393,0.075997084,0.1633963,-0.20051149,0.11143441,0.16491848,0.02334473,0.4387547,0.12549993,0.43545258,0.27405638,0.018363921,-0.17549285
COLO 829,0.3818356,-0.22189318,-0.04323029,0.461498,-0.69283813,-0.6721138,-0.48309043,-0.2212486,0.06439018,0.00041678766,-0.38281608,-0.045314047,0.39518714,0.08195266,0.3014523,0.09922009,-0.9280733,-0.0782837,-0.050085854,0.26910195,-0.024780678,0.14751416,0.28589404,0.042028643,0.70756197,-0.4509124,-0.7505042,-0.026309183,0.07142395,0.16972783,-0.0720067,-0.45047718,-0.40429005,0.3627714,0.14564255,0.51629686,0.25216243,0.7020063,-0.3716119,-0.34211248,-0.61650205,0.53220236,-0.16107503,0.786729,-0.12407238,-0.22247803,-0.40642688,0.095453836,0.19850545,0.5375721,-0.21952194,-0.67982924,0.13569452,-0.5755483,-0.24914017,-0.15233748,-0.0029363993,-0.26570067,0.0358026,0.24330567,0.18135902,0.17515476,0.870609,-0.04395208,-0.13642418,0.4904435,0.20626402,0.03608583,-0.14357305,0.33021227,0.113157496,-0.48468032,-0.058425426,-0.41008973,-0.2932033,0.68660355,-0.13629243,0.21914311,0.6638475,-0.03643203,-0.64637095,-0.14439844,-0.28484145,-0.25539556,0.04691203
MFE-296,0.95177567,-0.32842207,-0.81966025,0.11665047,-0.45672837,0.6135463,-1.0254217,0.28729144,0.68387514,-0.12989536,0.74691916,-0.16605085,-0.2915465,-0.60484284,0.646806,1.1483718,-0.15772483,-0.96807665,0.41107744,-0.6571352,1.2647924,0.52612066,-0.07553755,-0.34947476,-0.41390225,-0.8466212,0.72235495,-0.8639676,1.4546387,-0.89156914,-0.065846846,0.5688724,1.0171397,-0.11473908,0.66618174,1.13057,0.7058509,0.4198341,-0.06809652,-0.43789908,-0.7417309,0.5599777,0.5916666,-0.70686036,-0.9702501,-0.23341624,-1.0744187,0.7224304,-0.722503,0.56629133,0.10785015,0.14166647,-0.012064243,0.20403634,0.7116795,-0.25089997,1.2305797,-0.80592287,-1.235775,0.6780957,-0.6494763,-1.3438869,-0.7250766,-1.0590256,-0.96547997,0.30845904,-0.24604307,0.21562651,0.12010088,-0.8015608,-0.6721525,-1.2579834,-0.311592,-0.44331962,-0.3734616,0.61748844,0.23546706,0.090976015,-0.90601486,1.2112505,0.9599637,-0.05742333,-0.117749445,0.49769065,-0.1555751
NCI-H1373,-0.54544616,0.26604614,-0.40510446,-0.3837747,-0.7503111,-0.62852156,-0.5303936,0.54331833,0.4692751,0.86096543,-0.5157094,-0.67378217,0.34894773,0.9116264,0.87277657,0.36044616,-0.31235698,0.08956222,0.20777236,1.2021463,0.24892907,0.34273902,0.7620564,-0.634837,0.39788702,1.0029941,0.2732657,-0.6299545,0.49152058,-0.2675777,0.34207392,-0.15546809,0.7228398,-0.1823925,-0.13111418,-0.106573105,0.84163606,0.79644865,-0.5603091,-0.03572079,-1.2690217,1.2674135,0.94328135,-0.73412114,-1.176847,0.61523414,-0.87632203,0.39741972,0.3100109,0.80519664,-0.24661005,0.43780887,0.2289938,0.29555252,0.55260116,-0.68284625,0.07069922,0.19796385,-0.48722252,-0.11534734,-0.10028006,0.30500343,0.44419384,-0.14601226,-0.80506736,0.51462173,-1.0835966,0.057328984,-0.39762962,0.43318248,-0.9839203,-0.6080075,-0.22256722,0.9619353,-0.5801651,0.40573493,-0.64285517,-0.49707377,0.2700721,0.3475363,-0.84149116,-0.1418371,-0.60732734,-0.98442703,-0.8732091
KYSE-30,0.23726322,0.0921086,0.10201931,-0.17029911,0.37217313,-0.23280102,-0.3016991,0.020727616,-0.52855855,-0.21033104,0.023187203,-0.1991494,0.043627698,-0.25545484,0.078255266,-0.18332097,-0.22312549,-0.4416781,0.14397086,-0.18835638,0.54353243,0.015350119,0.12582079,0.29011175,-0.08598457,-0.3074997,0.20657161,-0.033821817,0.3064191,-0.2231964,-0.08971737,0.13033967,-0.13343978,0.11702027,-0.18362969,0.27232933,0.09573177,0.034940723,-0.077277385,0.10013797,0.03644873,0.20986988,-0.18868808,0.13242795,0.0046685687,0.19029208,0.44325727,-0.006470226,-0.44337264,-0.019376783,-0.113664486,-0.18292074,-0.261427,0.15564038,0.044825587,0.027609635,0.24229392,-0.0017186855,0.0019308113,-0.030842088,0.16835709,-0.0079614045,0.3640711,-0.026926542,-0.03171605,0.1673396,0.07029499,0.055826984,-0.07559408,-0.11016741,0.13552564,-0.5043923,0.17192157,0.12312611,0.10996178,-0.229097,0.11544309,0.13301705,-0.07662921,0.45839688,0.13282368,0.38827637,0.20740385,0.09209787,-0.14556424
NCI-H2347,0.1892299,0.16979675,-0.17777951,0.04857314,-0.83554965,-0.72983605,-0.57990533,-0.34726956,-0.19407564,0.13203894,-0.91870433,0.0755025,0.64367104,0.12776609,0.5613141,-0.10614503,-0.7567431,-0.28812146,-0.077495575,0.59197193,0.17459431,-0.28637576,0.010413543,-0.011110234,1.0741004,-0.092229374,-0.81885654,-0.19986457,-0.12741596,0.33246693,-0.316116,-0.40248176,-0.025450144,0.22258833,-0.16045672,0.17492265,0.5990722,0.35022238,-0.48083034,-0.6610654,-0.40329847,0.87018013,0.054931074,0.337065,-0.41405088,-0.0021683923,-0.24081439,-0.09170376,0.630584,0.6392569,-0.525028,-0.10866485,-0.21688944,-0.7335146,-0.35517296,-0.31690696,-0.1768514,0.11318402,-0.1163681,0.5933234,0.08366791,0.67962337,0.9901099,-0.08913139,-0.08845204,0.43236104,-0.23497337,0.3430172,0.45773935,0.017115502,-0.17799163,-0.09615342,-0.38890922,-0.040417153,-0.49387687,0.7339208,0.28139994,0.13548149,0.97546875,0.019122984,-0.9337328,-0.24632084,-0.3147873,-0.3105243,0.111522585
SK-UT-1,0.9150612,-0.30955535,-0.7958127,0.108292915,-0.44746408,0.57649016,-1.0233,0.2844719,0.6156004,-0.12823021,0.7123799,-0.1445002,-0.28402886,-0.65363264,0.6258723,1.1626331,-0.13949604,-0.9711873,0.38480413,-0.6434695,1.2774568,0.5369357,-0.09885581,-0.35268638,-0.40633813,-0.84868073,0.7636828,-0.86179036,1.4567785,-0.88109636,-0.04458939,0.60469145,0.9823136,-0.14160666,0.71479756,1.1469681,0.7241512,0.3754842,-0.050153013,-0.44214982,-0.7686102,0.56963676,0.5993953,-0.7699032,-0.942683,-0.20357548,-1.0676286,0.74075234,-0.7301502,0.5792261,0.119639635,0.17301172,-0.013712997,0.23951577,0.75462544,-0.22769372,1.189202,-0.8188765,-1.266407,0.73766536,-0.67926395,-1.3409624,-0.74264663,-1.0567876,-1.0218219,0.30760232,-0.28261286,0.20160072,0.17318064,-0.79923517,-0.68134767,-1.2306659,-0.30053058,-0.41535237,-0.37721,0.5879488,0.23730831,0.109102026,-0.9066448,1.2242033,0.9633733,-0.092532165,-0.08223696,0.49716532,-0.10866273
NCI-H526,0.30325395,0.14063688,0.16441058,-0.12499557,0.34714746,-0.24692087,-0.36065912,-0.100875944,-0.44759193,-0.15563047,0.04882003,-0.14764592,0.1201139,-0.32108217,0.04202142,-0.21635774,-0.24434577,-0.46128002,0.16224024,-0.14962575,0.58227026,-0.0005370031,0.07180092,0.25453445,-0.20219038,-0.28755477,0.15623342,-0.008358771,0.29257697,-0.27995956,-0.05109221,0.0069259848,-0.13292262,0.13093875,-0.13949184,0.3136801,0.02248285,0.10408342,-0.1117671,0.15212865,0.12430582,0.27705258,-0.15981919,0.1714751,0.06610944,0.3143071,0.50491506,0.069570534,-0.4415134,-0.023711557,-0.13096668,-0.1874126,-0.2894309,0.19124028,0.07424296,0.16391592,0.24136898,-0.02247219,-0.06013701,0.08676862,0.041992787,-0.034585577,0.5457338,-0.026432524,0.008377852,0.24929489,0.064958125,-0.05945319,0.01144316,-0.086717315,0.10940882,-0.48704267,0.13528393,0.075997084,0.1633963,-0.20051149,0.11143441,0.16491848,0.02334473,0.4387547,0.12549993,0.43545258,0.27405638,0.018363921,-0.17549285
SBC-5,0.2912285,0.106938355,0.18242036,-0.1572306,0.35015076,-0.24910544,-0.35284793,-0.02316742,-0.46407264,-0.165214,0.013138336,-0.16308631,0.11229268,-0.3018015,0.022431705,-0.25088018,-0.27238825,-0.43525413,0.17773367,-0.15125015,0.6023343,-0.0066562095,0.12663776,0.28756714,-0.113653734,-0.3335479,0.13341397,-0.026707461,0.32951385,-0.23927687,-0.03956355,0.047608636,-0.13048327,0.15405142,-0.1871522,0.27687165,0.052834254,0.10588519,-0.15482803,0.1174919,0.11747876,0.2572589,-0.15746316,0.18540338,0.03944117,0.2154625,0.4282377,-0.007853978,-0.4817234,-0.043639347,-0.113509715,-0.21508738,-0.28818876,0.17917103,0.0778083,0.09502354,0.21431667,0.0038937028,-0.021939542,0.009448352,0.095394425,0.010490882,0.4488349,-0.03945886,0.026538769,0.25679088,0.09494354,-0.021309672,0.007912292,-0.12574428,0.15540814,-0.5258461,0.17193703,0.06982659,0.12974373,-0.20763713,0.104227975,0.13067628,-0.041070253,0.4016464,0.13274866,0.47244868,0.22089867,0.045547336,-0.12644999
DLD-1,0.54184705,0.36489597,-0.33820367,-0.030040057,-0.7655866,0.0006254059,-0.6294248,-0.46781722,-0.15230286,-0.023437327,-0.4094601,0.20693514,0.30359662,-0.53170824,0.36288747,0.44098297,-0.24602173,-0.57660836,0.13399032,-0.027234659,0.87438464,-0.5729237,-0.5990814,0.030029723,0.569326,-0.443547,-0.33094287,-0.6732513,0.2068126,0.07902028,-0.23531517,0.19584307,0.47995716,-0.089034356,-0.10642538,0.50130886,0.57248354,0.038070437,-0.35012582,-0.8949767,-0.040632363,0.90331846,0.18223238,-0.1025193,-0.56880623,-0.43218255,-0.4245097,-0.18274221,0.25215933,0.5178525,-0.48191345,0.18511969,-0.44954908,-0.67320204,-0.20754361,-0.19808418,0.26872402,-0.24735843,-0.70976585,0.85706055,-0.3832872,-0.04439696,0.5277908,-0.69246966,-0.12096865,0.37631184,0.0480226,0.37279063,1.0264798,-0.63244903,-0.2255921,-0.3221526,-0.70642567,-0.43046576,-0.4354306,0.67850506,0.76296246,0.40476242,0.56095076,0.39671585,-0.2778354,-0.20323326,0.055707414,0.30429783,0.515171
